scale,source_config,source_hp,epoch,target_hp,target_hp_short,nll,mse
[8],1,"lr=1e-05, wd=0.0",0,layer4_lr1e-05_hd128_wd0.0_cosine,"lr1e-05,wd0.0",-0.6125544016830871,0.01641497287524725
[8],1,"lr=1e-05, wd=0.0",0,layer4_lr1e-05_hd128_wd0.01_cosine,"lr1e-05,wd0.01",-0.729779936283045,0.013191100177797621
[8],1,"lr=1e-05, wd=0.0",0,layer4_lr3e-05_hd128_wd0.0_cosine,"lr3e-05,wd0.0",-0.37589641208920405,0.022514714526834394
[8],1,"lr=1e-05, wd=0.0",0,layer4_lr3e-05_hd128_wd0.01_cosine,"lr3e-05,wd0.01",-0.5835596133942873,0.017060213172855866
[8],1,"lr=1e-05, wd=0.0",0,layer4_lr0.0001_hd128_wd0.0_cosine,"lr0.0001,wd0.0",-0.3183353933766625,0.023749144853515616
[8],1,"lr=1e-05, wd=0.0",0,layer4_lr0.0001_hd128_wd0.01_cosine,"lr0.0001,wd0.01",-0.4922785092346734,0.019543544770216834
[8],1,"lr=1e-05, wd=0.0",0,layer4_lr0.0003_hd128_wd0.0_cosine,"lr0.0003,wd0.0",-0.3990099812516858,0.0214278599067217
[8],1,"lr=1e-05, wd=0.0",0,layer4_lr0.0003_hd128_wd0.01_cosine,"lr0.0003,wd0.01",-0.5096118700263402,0.019207081975957024
[8],1,"lr=1e-05, wd=0.0",0,layer4_lr0.001_hd128_wd0.0_cosine,"lr0.001,wd0.0",-0.4611388609885169,0.02003474327369265
[8],1,"lr=1e-05, wd=0.0",0,layer4_lr0.001_hd128_wd0.01_cosine,"lr0.001,wd0.01",-0.6145973783032427,0.016338310561248476
[8],1,"lr=1e-05, wd=0.0",0,layer4_lr0.003_hd128_wd0.0_cosine,"lr0.003,wd0.0",-0.5374424082560838,0.018298644064111375
[8],1,"lr=1e-05, wd=0.0",0,layer4_lr0.003_hd128_wd0.01_cosine,"lr0.003,wd0.01",-0.7336943180331198,0.01248876090675804
[8],1,"lr=1e-05, wd=0.0",5,layer4_lr1e-05_hd128_wd0.0_cosine,"lr1e-05,wd0.0",-1.707273304008912,0.001089433821592511
[8],1,"lr=1e-05, wd=0.0",5,layer4_lr1e-05_hd128_wd0.01_cosine,"lr1e-05,wd0.01",-1.780881624103307,0.00044578398482264964
[8],1,"lr=1e-05, wd=0.0",5,layer4_lr3e-05_hd128_wd0.0_cosine,"lr3e-05,wd0.0",-1.71798535814739,5.351147860381189e-05
[8],1,"lr=1e-05, wd=0.0",5,layer4_lr3e-05_hd128_wd0.01_cosine,"lr3e-05,wd0.01",-1.7814545114720148,2.3907391760821866e-05
[8],1,"lr=1e-05, wd=0.0",5,layer4_lr0.0001_hd128_wd0.0_cosine,"lr0.0001,wd0.0",-1.66944502468989,0.0003143768916189305
[8],1,"lr=1e-05, wd=0.0",5,layer4_lr0.0001_hd128_wd0.01_cosine,"lr0.0001,wd0.01",-1.7766379423566965,6.935939164359877e-06
[8],1,"lr=1e-05, wd=0.0",5,layer4_lr0.0003_hd128_wd0.0_cosine,"lr0.0003,wd0.0",-1.5792093538878753,0.002086440527940685
[8],1,"lr=1e-05, wd=0.0",5,layer4_lr0.0003_hd128_wd0.01_cosine,"lr0.0003,wd0.01",-1.757875266615794,4.49956755222598e-05
[8],1,"lr=1e-05, wd=0.0",5,layer4_lr0.001_hd128_wd0.0_cosine,"lr0.001,wd0.0",-1.511228312646291,0.002821311437563173
[8],1,"lr=1e-05, wd=0.0",5,layer4_lr0.001_hd128_wd0.01_cosine,"lr0.001,wd0.01",-1.2906414394185763,0.00054923259950632
[8],1,"lr=1e-05, wd=0.0",5,layer4_lr0.003_hd128_wd0.0_cosine,"lr0.003,wd0.0",-1.2347478295286705,0.00373245834005546
[8],1,"lr=1e-05, wd=0.0",5,layer4_lr0.003_hd128_wd0.01_cosine,"lr0.003,wd0.01",-1.9208224322829415,0.0005849501756878396
[8],1,"lr=1e-05, wd=0.0",10,layer4_lr1e-05_hd128_wd0.0_cosine,"lr1e-05,wd0.0",-1.9362910539483111,0.00020170869436342013
[8],1,"lr=1e-05, wd=0.0",10,layer4_lr1e-05_hd128_wd0.01_cosine,"lr1e-05,wd0.01",-2.0593835431950707,0.00018650253388319951
[8],1,"lr=1e-05, wd=0.0",10,layer4_lr3e-05_hd128_wd0.0_cosine,"lr3e-05,wd0.0",-2.1524330093907422,9.52050875042638e-06
[8],1,"lr=1e-05, wd=0.0",10,layer4_lr3e-05_hd128_wd0.01_cosine,"lr3e-05,wd0.01",-2.1895843101911576,4.482326154162722e-05
[8],1,"lr=1e-05, wd=0.0",10,layer4_lr0.0001_hd128_wd0.0_cosine,"lr0.0001,wd0.0",-2.0108001516926652,0.00073023283328852
[8],1,"lr=1e-05, wd=0.0",10,layer4_lr0.0001_hd128_wd0.01_cosine,"lr0.0001,wd0.01",-2.21091696722241,9.757552901824367e-05
[8],1,"lr=1e-05, wd=0.0",10,layer4_lr0.0003_hd128_wd0.0_cosine,"lr0.0003,wd0.0",-1.8262478113902294,0.002458694723565915
[8],1,"lr=1e-05, wd=0.0",10,layer4_lr0.0003_hd128_wd0.01_cosine,"lr0.0003,wd0.01",-1.9999125651713794,0.00013166012725359427
[8],1,"lr=1e-05, wd=0.0",10,layer4_lr0.001_hd128_wd0.0_cosine,"lr0.001,wd0.0",-1.8934159026628894,0.0015669892950727587
[8],1,"lr=1e-05, wd=0.0",10,layer4_lr0.001_hd128_wd0.01_cosine,"lr0.001,wd0.01",-1.9351957651002294,3.634917789325499e-05
[8],1,"lr=1e-05, wd=0.0",10,layer4_lr0.003_hd128_wd0.0_cosine,"lr0.003,wd0.0",-1.9885413852000922,0.0006016221351219494
[8],1,"lr=1e-05, wd=0.0",10,layer4_lr0.003_hd128_wd0.01_cosine,"lr0.003,wd0.01",-1.6357568666092699,0.00012343934023308434
[8],1,"lr=1e-05, wd=0.0",20,layer4_lr1e-05_hd128_wd0.0_cosine,"lr1e-05,wd0.0",-2.25018990668835,2.4083797564041564e-05
[8],1,"lr=1e-05, wd=0.0",20,layer4_lr1e-05_hd128_wd0.01_cosine,"lr1e-05,wd0.01",-2.2681340172999453,7.150205685371581e-05
[8],1,"lr=1e-05, wd=0.0",20,layer4_lr3e-05_hd128_wd0.0_cosine,"lr3e-05,wd0.0",-2.3876626309839337,5.0409186327934254e-05
[8],1,"lr=1e-05, wd=0.0",20,layer4_lr3e-05_hd128_wd0.01_cosine,"lr3e-05,wd0.01",-2.5895504927902127,8.514899062829461e-07
[8],1,"lr=1e-05, wd=0.0",20,layer4_lr0.0001_hd128_wd0.0_cosine,"lr0.0001,wd0.0",-2.3017135133372046,0.0006646782267876484
[8],1,"lr=1e-05, wd=0.0",20,layer4_lr0.0001_hd128_wd0.01_cosine,"lr0.0001,wd0.01",-2.4727267144070164,5.176313954685456e-05
[8],1,"lr=1e-05, wd=0.0",20,layer4_lr0.0003_hd128_wd0.0_cosine,"lr0.0003,wd0.0",-2.2008752969793903,0.0012185098067602638
[8],1,"lr=1e-05, wd=0.0",20,layer4_lr0.0003_hd128_wd0.01_cosine,"lr0.0003,wd0.01",-2.1394568975539903,5.772126107174365e-05
[8],1,"lr=1e-05, wd=0.0",20,layer4_lr0.001_hd128_wd0.0_cosine,"lr0.001,wd0.0",-2.2476436716595747,0.0011270427364894026
[8],1,"lr=1e-05, wd=0.0",20,layer4_lr0.001_hd128_wd0.01_cosine,"lr0.001,wd0.01",-1.9501795645331674,9.609619796531154e-05
[8],1,"lr=1e-05, wd=0.0",20,layer4_lr0.003_hd128_wd0.0_cosine,"lr0.003,wd0.0",-2.21509977154231,0.0005861518561396769
[8],1,"lr=1e-05, wd=0.0",20,layer4_lr0.003_hd128_wd0.01_cosine,"lr0.003,wd0.01",-2.3259038018779177,0.0003202148167376979
[8],1,"lr=1e-05, wd=0.0",50,layer4_lr1e-05_hd128_wd0.0_cosine,"lr1e-05,wd0.0",-3.3153145778664674,1.527522177823068e-06
[8],1,"lr=1e-05, wd=0.0",50,layer4_lr1e-05_hd128_wd0.01_cosine,"lr1e-05,wd0.01",-3.335872334868922,6.65711818876127e-07
[8],1,"lr=1e-05, wd=0.0",50,layer4_lr3e-05_hd128_wd0.0_cosine,"lr3e-05,wd0.0",-3.3656189712788973,4.685715513844309e-06
[8],1,"lr=1e-05, wd=0.0",50,layer4_lr3e-05_hd128_wd0.01_cosine,"lr3e-05,wd0.01",-3.6443052810660124,1.2590605542933525e-06
[8],1,"lr=1e-05, wd=0.0",50,layer4_lr0.0001_hd128_wd0.0_cosine,"lr0.0001,wd0.0",-2.5816515768119914,7.788778307829383e-05
[8],1,"lr=1e-05, wd=0.0",50,layer4_lr0.0001_hd128_wd0.01_cosine,"lr0.0001,wd0.01",-3.9728364594419348,9.39445450276548e-07
