scale,epoch,target_hp,source_config,source_hp,nll,rank
[8],0,"lr1e-05,wd0.0",5,"lr=1e-04, wd=0.0",-0.9709,1
[8],0,"lr1e-05,wd0.0",3,"lr=3e-05, wd=0.0",-0.942,2
[8],0,"lr1e-05,wd0.0",4,"lr=3e-05, wd=0.01",-0.8746,3
[8],0,"lr1e-05,wd0.0",6,"lr=1e-04, wd=0.01",-0.8665,4
[8],0,"lr1e-05,wd0.0",7,"lr=3e-04, wd=0.0",-0.8286,5
[8],0,"lr1e-05,wd0.0",9,"lr=0.001, wd=0.0",-0.7829,6
[8],0,"lr1e-05,wd0.0",10,"lr=0.001, wd=0.01",-0.7584,7
[8],0,"lr1e-05,wd0.0",8,"lr=3e-04, wd=0.01",-0.7571,8
[8],0,"lr1e-05,wd0.0",12,"lr=0.003, wd=0.01",-0.7008,9
[8],0,"lr1e-05,wd0.0",11,"lr=0.003, wd=0.0",-0.6651,10
[8],0,"lr1e-05,wd0.0",1,"lr=1e-05, wd=0.0",-0.6126,11
[8],0,"lr1e-05,wd0.0",2,"lr=1e-05, wd=0.01",-0.6024,12
[8],0,"lr1e-05,wd0.01",3,"lr=3e-05, wd=0.0",-1.0587,1
[8],0,"lr1e-05,wd0.01",4,"lr=3e-05, wd=0.01",-1.0033,2
[8],0,"lr1e-05,wd0.01",5,"lr=1e-04, wd=0.0",-1.002,3
[8],0,"lr1e-05,wd0.01",6,"lr=1e-04, wd=0.01",-0.9046,4
[8],0,"lr1e-05,wd0.01",7,"lr=3e-04, wd=0.0",-0.8344,5
[8],0,"lr1e-05,wd0.01",9,"lr=0.001, wd=0.0",-0.7897,6
[8],0,"lr1e-05,wd0.01",8,"lr=3e-04, wd=0.01",-0.7768,7
[8],0,"lr1e-05,wd0.01",10,"lr=0.001, wd=0.01",-0.7697,8
[8],0,"lr1e-05,wd0.01",1,"lr=1e-05, wd=0.0",-0.7298,9
[8],0,"lr1e-05,wd0.01",12,"lr=0.003, wd=0.01",-0.7158,10
[8],0,"lr1e-05,wd0.01",2,"lr=1e-05, wd=0.01",-0.7081,11
[8],0,"lr1e-05,wd0.01",11,"lr=0.003, wd=0.0",-0.6712,12
[8],0,"lr3e-05,wd0.0",5,"lr=1e-04, wd=0.0",-0.879,1
[8],0,"lr3e-05,wd0.0",7,"lr=3e-04, wd=0.0",-0.7997,2
[8],0,"lr3e-05,wd0.0",6,"lr=1e-04, wd=0.01",-0.7812,3
[8],0,"lr3e-05,wd0.0",9,"lr=0.001, wd=0.0",-0.7711,4
[8],0,"lr3e-05,wd0.0",10,"lr=0.001, wd=0.01",-0.7458,5
[8],0,"lr3e-05,wd0.0",8,"lr=3e-04, wd=0.01",-0.717,6
[8],0,"lr3e-05,wd0.0",12,"lr=0.003, wd=0.01",-0.688,7
[8],0,"lr3e-05,wd0.0",3,"lr=3e-05, wd=0.0",-0.668,8
[8],0,"lr3e-05,wd0.0",11,"lr=0.003, wd=0.0",-0.6612,9
[8],0,"lr3e-05,wd0.0",4,"lr=3e-05, wd=0.01",-0.5912,10
[8],0,"lr3e-05,wd0.0",2,"lr=1e-05, wd=0.01",-0.3892,11
[8],0,"lr3e-05,wd0.0",1,"lr=1e-05, wd=0.0",-0.3759,12
[8],0,"lr3e-05,wd0.01",5,"lr=1e-04, wd=0.0",-0.9657,1
[8],0,"lr3e-05,wd0.01",3,"lr=3e-05, wd=0.0",-0.9054,2
[8],0,"lr3e-05,wd0.01",6,"lr=1e-04, wd=0.01",-0.8674,3
[8],0,"lr3e-05,wd0.01",4,"lr=3e-05, wd=0.01",-0.8369,4
[8],0,"lr3e-05,wd0.01",7,"lr=3e-04, wd=0.0",-0.8361,5
[8],0,"lr3e-05,wd0.01",9,"lr=0.001, wd=0.0",-0.7985,6
[8],0,"lr3e-05,wd0.01",10,"lr=0.001, wd=0.01",-0.7798,7
[8],0,"lr3e-05,wd0.01",8,"lr=3e-04, wd=0.01",-0.7646,8
[8],0,"lr3e-05,wd0.01",12,"lr=0.003, wd=0.01",-0.728,9
[8],0,"lr3e-05,wd0.01",11,"lr=0.003, wd=0.0",-0.6848,10
[8],0,"lr3e-05,wd0.01",1,"lr=1e-05, wd=0.0",-0.5836,11
[8],0,"lr3e-05,wd0.01",2,"lr=1e-05, wd=0.01",-0.5731,12
[8],0,"lr0.0001,wd0.0",5,"lr=1e-04, wd=0.0",-0.8624,1
[8],0,"lr0.0001,wd0.0",7,"lr=3e-04, wd=0.0",-0.8058,2
[8],0,"lr0.0001,wd0.0",9,"lr=0.001, wd=0.0",-0.7946,3
[8],0,"lr0.0001,wd0.0",6,"lr=1e-04, wd=0.01",-0.771,4
[8],0,"lr0.0001,wd0.0",10,"lr=0.001, wd=0.01",-0.7625,5
[8],0,"lr0.0001,wd0.0",8,"lr=3e-04, wd=0.01",-0.7197,6
[8],0,"lr0.0001,wd0.0",12,"lr=0.003, wd=0.01",-0.7073,7
[8],0,"lr0.0001,wd0.0",11,"lr=0.003, wd=0.0",-0.6825,8
[8],0,"lr0.0001,wd0.0",3,"lr=3e-05, wd=0.0",-0.5858,9
[8],0,"lr0.0001,wd0.0",4,"lr=3e-05, wd=0.01",-0.5133,10
[8],0,"lr0.0001,wd0.0",2,"lr=1e-05, wd=0.01",-0.3422,11
[8],0,"lr0.0001,wd0.0",1,"lr=1e-05, wd=0.0",-0.3183,12
[8],0,"lr0.0001,wd0.01",5,"lr=1e-04, wd=0.0",-0.9318,1
[8],0,"lr0.0001,wd0.01",6,"lr=1e-04, wd=0.01",-0.8362,2
[8],0,"lr0.0001,wd0.01",7,"lr=3e-04, wd=0.0",-0.8332,3
[8],0,"lr0.0001,wd0.01",9,"lr=0.001, wd=0.0",-0.8129,4
[8],0,"lr0.0001,wd0.01",3,"lr=3e-05, wd=0.0",-0.7899,5
[8],0,"lr0.0001,wd0.01",10,"lr=0.001, wd=0.01",-0.7899,6
[8],0,"lr0.0001,wd0.01",8,"lr=3e-04, wd=0.01",-0.7548,7
[8],0,"lr0.0001,wd0.01",12,"lr=0.003, wd=0.01",-0.7421,8
[8],0,"lr0.0001,wd0.01",4,"lr=3e-05, wd=0.01",-0.7164,9
[8],0,"lr0.0001,wd0.01",11,"lr=0.003, wd=0.0",-0.6993,10
[8],0,"lr0.0001,wd0.01",1,"lr=1e-05, wd=0.0",-0.4923,11
[8],0,"lr0.0001,wd0.01",2,"lr=1e-05, wd=0.01",-0.491,12
[8],0,"lr0.0003,wd0.0",5,"lr=1e-04, wd=0.0",-0.9073,1
[8],0,"lr0.0003,wd0.0",7,"lr=3e-04, wd=0.0",-0.839,2
[8],0,"lr0.0003,wd0.0",9,"lr=0.001, wd=0.0",-0.8353,3
[8],0,"lr0.0003,wd0.0",6,"lr=1e-04, wd=0.01",-0.8175,4
[8],0,"lr0.0003,wd0.0",10,"lr=0.001, wd=0.01",-0.8041,5
[8],0,"lr0.0003,wd0.0",8,"lr=3e-04, wd=0.01",-0.7527,6
[8],0,"lr0.0003,wd0.0",12,"lr=0.003, wd=0.01",-0.7507,7
[8],0,"lr0.0003,wd0.0",11,"lr=0.003, wd=0.0",-0.7198,8
[8],0,"lr0.0003,wd0.0",3,"lr=3e-05, wd=0.0",-0.6675,9
[8],0,"lr0.0003,wd0.0",4,"lr=3e-05, wd=0.01",-0.6057,10
[8],0,"lr0.0003,wd0.0",2,"lr=1e-05, wd=0.01",-0.42,11
[8],0,"lr0.0003,wd0.0",1,"lr=1e-05, wd=0.0",-0.399,12
[8],0,"lr0.0003,wd0.01",5,"lr=1e-04, wd=0.0",-0.9391,1
[8],0,"lr0.0003,wd0.01",7,"lr=3e-04, wd=0.0",-0.8444,2
[8],0,"lr0.0003,wd0.01",6,"lr=1e-04, wd=0.01",-0.8435,3
[8],0,"lr0.0003,wd0.01",9,"lr=0.001, wd=0.0",-0.8355,4
[8],0,"lr0.0003,wd0.01",10,"lr=0.001, wd=0.01",-0.8143,5
[8],0,"lr0.0003,wd0.01",3,"lr=3e-05, wd=0.0",-0.7933,6
[8],0,"lr0.0003,wd0.01",12,"lr=0.003, wd=0.01",-0.7668,7
[8],0,"lr0.0003,wd0.01",8,"lr=3e-04, wd=0.01",-0.7643,8
[8],0,"lr0.0003,wd0.01",4,"lr=3e-05, wd=0.01",-0.7246,9
[8],0,"lr0.0003,wd0.01",11,"lr=0.003, wd=0.0",-0.7218,10
[8],0,"lr0.0003,wd0.01",2,"lr=1e-05, wd=0.01",-0.5096,11
[8],0,"lr0.0003,wd0.01",1,"lr=1e-05, wd=0.0",-0.5096,12
[8],0,"lr0.001,wd0.0",5,"lr=1e-04, wd=0.0",-0.9272,1
[8],0,"lr0.001,wd0.0",9,"lr=0.001, wd=0.0",-0.8554,2
[8],0,"lr0.001,wd0.0",7,"lr=3e-04, wd=0.0",-0.8544,3
[8],0,"lr0.001,wd0.0",6,"lr=1e-04, wd=0.01",-0.8367,4
[8],0,"lr0.001,wd0.0",10,"lr=0.001, wd=0.01",-0.8274,5
[8],0,"lr0.001,wd0.0",12,"lr=0.003, wd=0.01",-0.7889,6
[8],0,"lr0.001,wd0.0",8,"lr=3e-04, wd=0.01",-0.7674,7
[8],0,"lr0.001,wd0.0",11,"lr=0.003, wd=0.0",-0.7448,8
[8],0,"lr0.001,wd0.0",3,"lr=3e-05, wd=0.0",-0.7234,9
[8],0,"lr0.001,wd0.0",4,"lr=3e-05, wd=0.01",-0.6691,10
[8],0,"lr0.001,wd0.0",2,"lr=1e-05, wd=0.01",-0.4754,11
[8],0,"lr0.001,wd0.0",1,"lr=1e-05, wd=0.0",-0.4611,12
[8],0,"lr0.001,wd0.01",5,"lr=1e-04, wd=0.0",-0.9861,1
[8],0,"lr0.001,wd0.01",3,"lr=3e-05, wd=0.0",-0.9026,2
[8],0,"lr0.001,wd0.01",6,"lr=1e-04, wd=0.01",-0.8867,3
[8],0,"lr0.001,wd0.01",7,"lr=3e-04, wd=0.0",-0.8738,4
[8],0,"lr0.001,wd0.01",9,"lr=0.001, wd=0.0",-0.8683,5
[8],0,"lr0.001,wd0.01",10,"lr=0.001, wd=0.01",-0.8497,6
[8],0,"lr0.001,wd0.01",4,"lr=3e-05, wd=0.01",-0.8438,7
[8],0,"lr0.001,wd0.01",12,"lr=0.003, wd=0.01",-0.8193,8
[8],0,"lr0.001,wd0.01",8,"lr=3e-04, wd=0.01",-0.7929,9
[8],0,"lr0.001,wd0.01",11,"lr=0.003, wd=0.0",-0.7541,10
[8],0,"lr0.001,wd0.01",1,"lr=1e-05, wd=0.0",-0.6146,11
