scale,source_config,source_hp,epoch,target_hp,target_hp_short,nll,mse
[8],1,"lr=1e-05, wd=0.0",0,layer4_lr1e-05_hd128_wd0.0_cosine,"lr1e-05,wd0.0",-0.7132066565266564,0.01399336574942392
[8],1,"lr=1e-05, wd=0.0",0,layer4_lr1e-05_hd128_wd0.01_cosine,"lr1e-05,wd0.01",-0.8252488646170593,0.010301782139903891
[8],1,"lr=1e-05, wd=0.0",0,layer4_lr3e-05_hd128_wd0.0_cosine,"lr3e-05,wd0.0",-0.5599670162619496,0.018722231153749123
[8],1,"lr=1e-05, wd=0.0",0,layer4_lr3e-05_hd128_wd0.01_cosine,"lr3e-05,wd0.01",-0.7414230817829757,0.013020611995077312
[8],1,"lr=1e-05, wd=0.0",0,layer4_lr0.0001_hd128_wd0.0_cosine,"lr0.0001,wd0.0",-0.655481216399773,0.015782149116865582
[8],1,"lr=1e-05, wd=0.0",0,layer4_lr0.0001_hd128_wd0.01_cosine,"lr0.0001,wd0.01",-0.6782729711346824,0.015018242783312326
[8],1,"lr=1e-05, wd=0.0",0,layer4_lr0.0003_hd128_wd0.0_cosine,"lr0.0003,wd0.0",-0.8054635245127231,0.010677883796500273
[8],1,"lr=1e-05, wd=0.0",0,layer4_lr0.0003_hd128_wd0.01_cosine,"lr0.0003,wd0.01",-0.667629112644316,0.015292581040454641
[8],1,"lr=1e-05, wd=0.0",0,layer4_lr0.001_hd128_wd0.0_cosine,"lr0.001,wd0.0",-0.8399685184980908,0.008747278295734255
[8],1,"lr=1e-05, wd=0.0",0,layer4_lr0.001_hd128_wd0.01_cosine,"lr0.001,wd0.01",-0.6876037929480299,0.014313560116102565
[8],1,"lr=1e-05, wd=0.0",0,layer4_lr0.003_hd128_wd0.0_cosine,"lr0.003,wd0.0",-0.8064070794202768,0.009057823565026756
[8],1,"lr=1e-05, wd=0.0",0,layer4_lr0.003_hd128_wd0.01_cosine,"lr0.003,wd0.01",-0.7156291044203443,0.012659672309989333
[8],1,"lr=1e-05, wd=0.0",5,layer4_lr1e-05_hd128_wd0.0_cosine,"lr1e-05,wd0.0",-1.3822860304491658,0.0018071678221849201
[8],1,"lr=1e-05, wd=0.0",5,layer4_lr1e-05_hd128_wd0.01_cosine,"lr1e-05,wd0.01",-1.446777166506891,0.0008003209500708444
[8],1,"lr=1e-05, wd=0.0",5,layer4_lr3e-05_hd128_wd0.0_cosine,"lr3e-05,wd0.0",-1.266188835343667,0.0001301477484927431
[8],1,"lr=1e-05, wd=0.0",5,layer4_lr3e-05_hd128_wd0.01_cosine,"lr3e-05,wd0.01",-1.3705839505302437,6.751731549368659e-05
[8],1,"lr=1e-05, wd=0.0",5,layer4_lr0.0001_hd128_wd0.0_cosine,"lr0.0001,wd0.0",-1.171608263445365,0.0007012475558594362
[8],1,"lr=1e-05, wd=0.0",5,layer4_lr0.0001_hd128_wd0.01_cosine,"lr0.0001,wd0.01",-1.315480792602141,1.088728318173439e-06
[8],1,"lr=1e-05, wd=0.0",5,layer4_lr0.0003_hd128_wd0.0_cosine,"lr0.0003,wd0.0",-1.0188622725360321,0.004280236684988475
[8],1,"lr=1e-05, wd=0.0",5,layer4_lr0.0003_hd128_wd0.01_cosine,"lr0.0003,wd0.01",-1.2484259272864757,1.755730073371908e-05
[8],1,"lr=1e-05, wd=0.0",5,layer4_lr0.001_hd128_wd0.0_cosine,"lr0.001,wd0.0",-0.9308602458101698,0.006107362514569464
[8],1,"lr=1e-05, wd=0.0",5,layer4_lr0.001_hd128_wd0.01_cosine,"lr0.001,wd0.01",-0.9632543837314982,0.0002162344831071398
[8],1,"lr=1e-05, wd=0.0",5,layer4_lr0.003_hd128_wd0.0_cosine,"lr0.003,wd0.0",-0.7899147351338712,0.007283013660712148
[8],1,"lr=1e-05, wd=0.0",5,layer4_lr0.003_hd128_wd0.01_cosine,"lr0.003,wd0.01",-1.5410964156010039,0.0017482658400092088
[8],1,"lr=1e-05, wd=0.0",10,layer4_lr1e-05_hd128_wd0.0_cosine,"lr1e-05,wd0.0",-1.4566112316715838,0.00035214336160307395
[8],1,"lr=1e-05, wd=0.0",10,layer4_lr1e-05_hd128_wd0.01_cosine,"lr1e-05,wd0.01",-1.6245776600433532,0.0002847520195547955
[8],1,"lr=1e-05, wd=0.0",10,layer4_lr3e-05_hd128_wd0.0_cosine,"lr3e-05,wd0.0",-1.5350971746282103,2.1194381117730166e-05
[8],1,"lr=1e-05, wd=0.0",10,layer4_lr3e-05_hd128_wd0.01_cosine,"lr3e-05,wd0.01",-1.5904464192841028,3.18024927136055e-05
[8],1,"lr=1e-05, wd=0.0",10,layer4_lr0.0001_hd128_wd0.0_cosine,"lr0.0001,wd0.0",-1.3015475032780779,0.0015038322284038346
[8],1,"lr=1e-05, wd=0.0",10,layer4_lr0.0001_hd128_wd0.01_cosine,"lr0.0001,wd0.01",-1.4774826694826246,0.0001537647725562749
[8],1,"lr=1e-05, wd=0.0",10,layer4_lr0.0003_hd128_wd0.0_cosine,"lr0.0003,wd0.0",-1.1028320986943696,0.005013814052242752
[8],1,"lr=1e-05, wd=0.0",10,layer4_lr0.0003_hd128_wd0.01_cosine,"lr0.0003,wd0.01",-1.3121379183672144,0.00019641814779010382
[8],1,"lr=1e-05, wd=0.0",10,layer4_lr0.001_hd128_wd0.0_cosine,"lr0.001,wd0.0",-1.2161171222115423,0.0036764405867040235
[8],1,"lr=1e-05, wd=0.0",10,layer4_lr0.001_hd128_wd0.01_cosine,"lr0.001,wd0.01",-1.3695864716001747,8.421785142107702e-05
[8],1,"lr=1e-05, wd=0.0",10,layer4_lr0.003_hd128_wd0.0_cosine,"lr0.003,wd0.0",-1.3078889305795414,0.0017116141343497644
[8],1,"lr=1e-05, wd=0.0",10,layer4_lr0.003_hd128_wd0.01_cosine,"lr0.003,wd0.01",-1.174704581751883,5.738428900495272e-05
[8],1,"lr=1e-05, wd=0.0",20,layer4_lr1e-05_hd128_wd0.0_cosine,"lr1e-05,wd0.0",-1.5130137023036658,3.800604731466727e-05
[8],1,"lr=1e-05, wd=0.0",20,layer4_lr1e-05_hd128_wd0.01_cosine,"lr1e-05,wd0.01",-1.5371897525994525,0.00011145424358185707
[8],1,"lr=1e-05, wd=0.0",20,layer4_lr3e-05_hd128_wd0.0_cosine,"lr3e-05,wd0.0",-1.5609677003261528,0.0001163751927841537
[8],1,"lr=1e-05, wd=0.0",20,layer4_lr3e-05_hd128_wd0.01_cosine,"lr3e-05,wd0.01",-1.86744059519139,1.700250765085018e-06
[8],1,"lr=1e-05, wd=0.0",20,layer4_lr0.0001_hd128_wd0.0_cosine,"lr0.0001,wd0.0",-1.4753932057362098,0.0014122429982527755
[8],1,"lr=1e-05, wd=0.0",20,layer4_lr0.0001_hd128_wd0.01_cosine,"lr0.0001,wd0.01",-1.6035538055025291,0.0001090304067566716
[8],1,"lr=1e-05, wd=0.0",20,layer4_lr0.0003_hd128_wd0.0_cosine,"lr0.0003,wd0.0",-1.4850336270235247,0.002537245704969904
[8],1,"lr=1e-05, wd=0.0",20,layer4_lr0.0003_hd128_wd0.01_cosine,"lr0.0003,wd0.01",-1.3588936296210006,0.00010404284011848386
[8],1,"lr=1e-05, wd=0.0",20,layer4_lr0.001_hd128_wd0.0_cosine,"lr0.001,wd0.0",-1.470334569186075,0.0026497848397029943
[8],1,"lr=1e-05, wd=0.0",20,layer4_lr0.001_hd128_wd0.01_cosine,"lr0.001,wd0.01",-1.3262518479087677,3.9681026157842685e-05
[8],1,"lr=1e-05, wd=0.0",20,layer4_lr0.003_hd128_wd0.0_cosine,"lr0.003,wd0.0",-1.4495414336404076,0.0015857914792209273
[8],1,"lr=1e-05, wd=0.0",20,layer4_lr0.003_hd128_wd0.01_cosine,"lr0.003,wd0.01",-1.5302683881947412,0.0010396165961539623
[8],1,"lr=1e-05, wd=0.0",50,layer4_lr1e-05_hd128_wd0.0_cosine,"lr1e-05,wd0.0",-2.251028940460813,4.313348784141068e-06
[8],1,"lr=1e-05, wd=0.0",50,layer4_lr1e-05_hd128_wd0.01_cosine,"lr1e-05,wd0.01",-2.2833315013265376,3.0735637499515995e-07
[8],1,"lr=1e-05, wd=0.0",50,layer4_lr3e-05_hd128_wd0.0_cosine,"lr3e-05,wd0.0",-2.2211588850519375,1.4845618569506483e-05
[8],1,"lr=1e-05, wd=0.0",50,layer4_lr3e-05_hd128_wd0.01_cosine,"lr3e-05,wd0.01",-2.4156231894262588,3.623878658263705e-06
[8],1,"lr=1e-05, wd=0.0",50,layer4_lr0.0001_hd128_wd0.0_cosine,"lr0.0001,wd0.0",-2.0381146935314525,0.00014543362389651398
[8],1,"lr=1e-05, wd=0.0",50,layer4_lr0.0001_hd128_wd0.01_cosine,"lr0.0001,wd0.01",-3.454546404954901,1.957687428989027e-07
[8],1,"lr=1e-05, wd=0.0",50,layer4_lr0.0003_hd128_wd0.0_cosine,"lr0.0003,wd0.0",-1.8705801712557788,0.00030272978253792607
[8],1,"lr=1e-05, wd=0.0",50,layer4_lr0.0003_hd128_wd0.01_cosine,"lr0.0003,wd0.01",-2.3211951879278,1.9593803638055807e-08
[8],1,"lr=1e-05, wd=0.0",50,layer4_lr0.001_hd128_wd0.0_cosine,"lr0.001,wd0.0",-1.754372332485598,0.00010306273455392292
[8],1,"lr=1e-05, wd=0.0",50,layer4_lr0.001_hd128_wd0.01_cosine,"lr0.001,wd0.01",-2.1028466155058854,0.00024827158398330734
[8],1,"lr=1e-05, wd=0.0",50,layer4_lr0.003_hd128_wd0.0_cosine,"lr0.003,wd0.0",-2.2751618415936417,0.0004933047122246158
[8],1,"lr=1e-05, wd=0.0",50,layer4_lr0.003_hd128_wd0.01_cosine,"lr0.003,wd0.01",-2.011602235502687,0.0007320718480426286
[8],1,"lr=1e-05, wd=0.0",90,layer4_lr1e-05_hd128_wd0.0_cosine,"lr1e-05,wd0.0",-3.9129995770267483,9.618710231917017e-06
[8],1,"lr=1e-05, wd=0.0",90,layer4_lr1e-05_hd128_wd0.01_cosine,"lr1e-05,wd0.01",-4.060478270050142,1.5319135571034545e-06
[8],1,"lr=1e-05, wd=0.0",90,layer4_lr3e-05_hd128_wd0.0_cosine,"lr3e-05,wd0.0",-3.9587210516026015,5.602819873388732e-06
[8],1,"lr=1e-05, wd=0.0",90,layer4_lr3e-05_hd128_wd0.01_cosine,"lr3e-05,wd0.01",-4.0943357330322545,9.967495058773383e-07
[8],1,"lr=1e-05, wd=0.0",90,layer4_lr0.0001_hd128_wd0.0_cosine,"lr0.0001,wd0.0",-2.436694233010126,4.40165066066978e-06
[8],1,"lr=1e-05, wd=0.0",90,layer4_lr0.0001_hd128_wd0.01_cosine,"lr0.0001,wd0.01",-4.105373970588146,3.2263283659863917e-06
[8],1,"lr=1e-05, wd=0.0",90,layer4_lr0.0003_hd128_wd0.0_cosine,"lr0.0003,wd0.0",-2.444764522812788,9.977309590396021e-06
[8],1,"lr=1e-05, wd=0.0",90,layer4_lr0.0003_hd128_wd0.01_cosine,"lr0.0003,wd0.01",-4.125771153603068,1.6556333548417918e-07
[8],1,"lr=1e-05, wd=0.0",90,layer4_lr0.001_hd128_wd0.0_cosine,"lr0.001,wd0.0",-2.4789394293018883,0.00010670994706214057
[8],1,"lr=1e-05, wd=0.0",90,layer4_lr0.001_hd128_wd0.01_cosine,"lr0.001,wd0.01",-3.495914876261574,5.058149112423507e-06
[8],1,"lr=1e-05, wd=0.0",90,layer4_lr0.003_hd128_wd0.0_cosine,"lr0.003,wd0.0",-2.431738761800405,8.153658553562017e-05
[8],1,"lr=1e-05, wd=0.0",90,layer4_lr0.003_hd128_wd0.01_cosine,"lr0.003,wd0.01",-3.1229357332547365,9.976548456964322e-06
[8],2,"lr=1e-05, wd=0.01",0,layer4_lr1e-05_hd128_wd0.0_cosine,"lr1e-05,wd0.0",-0.6822382659950016,0.01478172385858318
[8],2,"lr=1e-05, wd=0.01",0,layer4_lr1e-05_hd128_wd0.01_cosine,"lr1e-05,wd0.01",-0.7882315096779573,0.011069738113281278
[8],2,"lr=1e-05, wd=0.01",0,layer4_lr3e-05_hd128_wd0.0_cosine,"lr3e-05,wd0.0",-0.5434312669165234,0.019586661275877975
[8],2,"lr=1e-05, wd=0.01",0,layer4_lr3e-05_hd128_wd0.01_cosine,"lr3e-05,wd0.01",-0.7091333925682457,0.013837506192228394
[8],2,"lr=1e-05, wd=0.01",0,layer4_lr0.0001_hd128_wd0.0_cosine,"lr0.0001,wd0.0",-0.6306875740726291,0.016536089550078698
[8],2,"lr=1e-05, wd=0.01",0,layer4_lr0.0001_hd128_wd0.01_cosine,"lr0.0001,wd0.01",-0.6501324558776095,0.01583838616839208
[8],2,"lr=1e-05, wd=0.01",0,layer4_lr0.0003_hd128_wd0.0_cosine,"lr0.0003,wd0.0",-0.7677050958897862,0.011271916861107746
[8],2,"lr=1e-05, wd=0.01",0,layer4_lr0.0003_hd128_wd0.01_cosine,"lr0.0003,wd0.01",-0.6404764222894541,0.016073204167084222
[8],2,"lr=1e-05, wd=0.01",0,layer4_lr0.001_hd128_wd0.0_cosine,"lr0.001,wd0.0",-0.8000268624898434,0.009254314761894878
[8],2,"lr=1e-05, wd=0.01",0,layer4_lr0.001_hd128_wd0.01_cosine,"lr0.001,wd0.01",-0.6591031452268029,0.01501668252402117
[8],2,"lr=1e-05, wd=0.01",0,layer4_lr0.003_hd128_wd0.0_cosine,"lr0.003,wd0.0",-0.7702004599819395,0.009534682696060734
[8],2,"lr=1e-05, wd=0.01",0,layer4_lr0.003_hd128_wd0.01_cosine,"lr0.003,wd0.01",-0.685982495413999,0.013264715862425471
[8],2,"lr=1e-05, wd=0.01",5,layer4_lr1e-05_hd128_wd0.0_cosine,"lr1e-05,wd0.0",-1.3535930618837706,0.0017894858027875772
[8],2,"lr=1e-05, wd=0.01",5,layer4_lr1e-05_hd128_wd0.01_cosine,"lr1e-05,wd0.01",-1.4275967924105333,0.0007960781767795495
[8],2,"lr=1e-05, wd=0.01",5,layer4_lr3e-05_hd128_wd0.0_cosine,"lr3e-05,wd0.0",-1.2589186500560379,0.0001273922368561058
