scale,epoch,target_hp,source_config,source_hp,nll,rank
[8],0,"lr1e-05,wd0.0",3,"lr=3e-05, wd=0.0",-0.9168,1
[8],0,"lr1e-05,wd0.0",5,"lr=1e-04, wd=0.0",-0.906,2
[8],0,"lr1e-05,wd0.0",4,"lr=3e-05, wd=0.01",-0.8502,3
[8],0,"lr1e-05,wd0.0",6,"lr=1e-04, wd=0.01",-0.8136,4
[8],0,"lr1e-05,wd0.0",7,"lr=3e-04, wd=0.0",-0.7924,5
[8],0,"lr1e-05,wd0.0",9,"lr=0.001, wd=0.0",-0.7516,6
[8],0,"lr1e-05,wd0.0",10,"lr=0.001, wd=0.01",-0.7484,7
[8],0,"lr1e-05,wd0.0",8,"lr=3e-04, wd=0.01",-0.7284,8
[8],0,"lr1e-05,wd0.0",1,"lr=1e-05, wd=0.0",-0.7132,9
[8],0,"lr1e-05,wd0.0",12,"lr=0.003, wd=0.01",-0.7017,10
[8],0,"lr1e-05,wd0.0",2,"lr=1e-05, wd=0.01",-0.6822,11
[8],0,"lr1e-05,wd0.0",11,"lr=0.003, wd=0.0",-0.6476,12
[8],0,"lr1e-05,wd0.01",3,"lr=3e-05, wd=0.0",-1.0391,1
[8],0,"lr1e-05,wd0.01",4,"lr=3e-05, wd=0.01",-0.9842,2
[8],0,"lr1e-05,wd0.01",5,"lr=1e-04, wd=0.0",-0.9577,3
[8],0,"lr1e-05,wd0.01",6,"lr=1e-04, wd=0.01",-0.8697,4
[8],0,"lr1e-05,wd0.01",1,"lr=1e-05, wd=0.0",-0.8252,5
[8],0,"lr1e-05,wd0.01",7,"lr=3e-04, wd=0.0",-0.815,6
[8],0,"lr1e-05,wd0.01",2,"lr=1e-05, wd=0.01",-0.7882,7
[8],0,"lr1e-05,wd0.01",9,"lr=0.001, wd=0.0",-0.77,8
[8],0,"lr1e-05,wd0.01",10,"lr=0.001, wd=0.01",-0.7673,9
[8],0,"lr1e-05,wd0.01",8,"lr=3e-04, wd=0.01",-0.761,10
[8],0,"lr1e-05,wd0.01",12,"lr=0.003, wd=0.01",-0.7257,11
[8],0,"lr1e-05,wd0.01",11,"lr=0.003, wd=0.0",-0.6609,12
[8],0,"lr3e-05,wd0.0",5,"lr=1e-04, wd=0.0",-0.8295,1
[8],0,"lr3e-05,wd0.0",7,"lr=3e-04, wd=0.0",-0.7571,2
[8],0,"lr3e-05,wd0.0",3,"lr=3e-05, wd=0.0",-0.7388,3
[8],0,"lr3e-05,wd0.0",6,"lr=1e-04, wd=0.01",-0.7355,4
[8],0,"lr3e-05,wd0.0",10,"lr=0.001, wd=0.01",-0.7334,5
[8],0,"lr3e-05,wd0.0",9,"lr=0.001, wd=0.0",-0.729,6
[8],0,"lr3e-05,wd0.0",12,"lr=0.003, wd=0.01",-0.6863,7
[8],0,"lr3e-05,wd0.0",8,"lr=3e-04, wd=0.01",-0.6841,8
[8],0,"lr3e-05,wd0.0",4,"lr=3e-05, wd=0.01",-0.6637,9
[8],0,"lr3e-05,wd0.0",11,"lr=0.003, wd=0.0",-0.6375,10
[8],0,"lr3e-05,wd0.0",1,"lr=1e-05, wd=0.0",-0.56,11
[8],0,"lr3e-05,wd0.0",2,"lr=1e-05, wd=0.01",-0.5434,12
[8],0,"lr3e-05,wd0.01",3,"lr=3e-05, wd=0.0",-0.9516,1
[8],0,"lr3e-05,wd0.01",5,"lr=1e-04, wd=0.0",-0.9269,2
[8],0,"lr3e-05,wd0.01",4,"lr=3e-05, wd=0.01",-0.8863,3
[8],0,"lr3e-05,wd0.01",6,"lr=1e-04, wd=0.01",-0.8355,4
[8],0,"lr3e-05,wd0.01",7,"lr=3e-04, wd=0.0",-0.8105,5
[8],0,"lr3e-05,wd0.01",10,"lr=0.001, wd=0.01",-0.7751,6
[8],0,"lr3e-05,wd0.01",9,"lr=0.001, wd=0.0",-0.7713,7
[8],0,"lr3e-05,wd0.01",8,"lr=3e-04, wd=0.01",-0.7451,8
[8],0,"lr3e-05,wd0.01",1,"lr=1e-05, wd=0.0",-0.7414,9
[8],0,"lr3e-05,wd0.01",12,"lr=0.003, wd=0.01",-0.7357,10
[8],0,"lr3e-05,wd0.01",2,"lr=1e-05, wd=0.01",-0.7091,11
[8],0,"lr3e-05,wd0.01",11,"lr=0.003, wd=0.0",-0.6701,12
[8],0,"lr0.0001,wd0.0",5,"lr=1e-04, wd=0.0",-0.8885,1
[8],0,"lr0.0001,wd0.0",3,"lr=3e-05, wd=0.0",-0.8487,2
[8],0,"lr0.0001,wd0.0",7,"lr=3e-04, wd=0.0",-0.7991,3
[8],0,"lr0.0001,wd0.0",6,"lr=1e-04, wd=0.01",-0.7927,4
[8],0,"lr0.0001,wd0.0",9,"lr=0.001, wd=0.0",-0.7792,5
[8],0,"lr0.0001,wd0.0",10,"lr=0.001, wd=0.01",-0.7784,6
[8],0,"lr0.0001,wd0.0",4,"lr=3e-05, wd=0.01",-0.7778,7
[8],0,"lr0.0001,wd0.0",12,"lr=0.003, wd=0.01",-0.7402,8
[8],0,"lr0.0001,wd0.0",8,"lr=3e-04, wd=0.01",-0.7237,9
[8],0,"lr0.0001,wd0.0",11,"lr=0.003, wd=0.0",-0.6789,10
[8],0,"lr0.0001,wd0.0",1,"lr=1e-05, wd=0.0",-0.6555,11
[8],0,"lr0.0001,wd0.0",2,"lr=1e-05, wd=0.01",-0.6307,12
[8],0,"lr0.0001,wd0.01",5,"lr=1e-04, wd=0.0",-0.8983,1
[8],0,"lr0.0001,wd0.01",3,"lr=3e-05, wd=0.0",-0.877,2
[8],0,"lr0.0001,wd0.01",4,"lr=3e-05, wd=0.01",-0.8064,3
[8],0,"lr0.0001,wd0.01",6,"lr=1e-04, wd=0.01",-0.8048,4
[8],0,"lr0.0001,wd0.01",7,"lr=3e-04, wd=0.0",-0.8022,5
[8],0,"lr0.0001,wd0.01",10,"lr=0.001, wd=0.01",-0.7832,6
[8],0,"lr0.0001,wd0.01",9,"lr=0.001, wd=0.0",-0.776,7
[8],0,"lr0.0001,wd0.01",12,"lr=0.003, wd=0.01",-0.7473,8
[8],0,"lr0.0001,wd0.01",8,"lr=3e-04, wd=0.01",-0.7307,9
[8],0,"lr0.0001,wd0.01",11,"lr=0.003, wd=0.0",-0.6792,10
[8],0,"lr0.0001,wd0.01",1,"lr=1e-05, wd=0.0",-0.6783,11
[8],0,"lr0.0001,wd0.01",2,"lr=1e-05, wd=0.01",-0.6501,12
[8],0,"lr0.0003,wd0.0",3,"lr=3e-05, wd=0.0",-1.0381,1
[8],0,"lr0.0003,wd0.0",5,"lr=1e-04, wd=0.0",-0.9813,2
[8],0,"lr0.0003,wd0.0",4,"lr=3e-05, wd=0.01",-0.9744,3
[8],0,"lr0.0003,wd0.0",6,"lr=1e-04, wd=0.01",-0.8856,4
[8],0,"lr0.0003,wd0.0",7,"lr=3e-04, wd=0.0",-0.8583,5
[8],0,"lr0.0003,wd0.0",9,"lr=0.001, wd=0.0",-0.8419,6
[8],0,"lr0.0003,wd0.0",10,"lr=0.001, wd=0.01",-0.8373,7
[8],0,"lr0.0003,wd0.0",12,"lr=0.003, wd=0.01",-0.8138,8
[8],0,"lr0.0003,wd0.0",1,"lr=1e-05, wd=0.0",-0.8055,9
[8],0,"lr0.0003,wd0.0",8,"lr=3e-04, wd=0.01",-0.7844,10
[8],0,"lr0.0003,wd0.0",2,"lr=1e-05, wd=0.01",-0.7677,11
[8],0,"lr0.0003,wd0.0",11,"lr=0.003, wd=0.0",-0.7316,12
[8],0,"lr0.0003,wd0.01",5,"lr=1e-04, wd=0.0",-0.8949,1
[8],0,"lr0.0003,wd0.01",3,"lr=3e-05, wd=0.0",-0.8624,2
[8],0,"lr0.0003,wd0.01",7,"lr=3e-04, wd=0.0",-0.8045,3
[8],0,"lr0.0003,wd0.01",6,"lr=1e-04, wd=0.01",-0.8001,4
[8],0,"lr0.0003,wd0.01",10,"lr=0.001, wd=0.01",-0.7983,5
[8],0,"lr0.0003,wd0.01",4,"lr=3e-05, wd=0.01",-0.7924,6
[8],0,"lr0.0003,wd0.01",9,"lr=0.001, wd=0.0",-0.7872,7
[8],0,"lr0.0003,wd0.01",12,"lr=0.003, wd=0.01",-0.7655,8
[8],0,"lr0.0003,wd0.01",8,"lr=3e-04, wd=0.01",-0.7304,9
[8],0,"lr0.0003,wd0.01",11,"lr=0.003, wd=0.0",-0.6929,10
[8],0,"lr0.0003,wd0.01",1,"lr=1e-05, wd=0.0",-0.6676,11
[8],0,"lr0.0003,wd0.01",2,"lr=1e-05, wd=0.01",-0.6405,12
[8],0,"lr0.001,wd0.0",3,"lr=3e-05, wd=0.0",-1.0927,1
[8],0,"lr0.001,wd0.0",4,"lr=3e-05, wd=0.01",-1.0329,2
[8],0,"lr0.001,wd0.0",5,"lr=1e-04, wd=0.0",-1.0108,3
[8],0,"lr0.001,wd0.0",6,"lr=1e-04, wd=0.01",-0.916,4
[8],0,"lr0.001,wd0.0",7,"lr=3e-04, wd=0.0",-0.8783,5
[8],0,"lr0.001,wd0.0",12,"lr=0.003, wd=0.01",-0.8635,6
[8],0,"lr0.001,wd0.0",10,"lr=0.001, wd=0.01",-0.8629,7
[8],0,"lr0.001,wd0.0",9,"lr=0.001, wd=0.0",-0.8616,8
[8],0,"lr0.001,wd0.0",1,"lr=1e-05, wd=0.0",-0.84,9
[8],0,"lr0.001,wd0.0",8,"lr=3e-04, wd=0.01",-0.8052,10
[8],0,"lr0.001,wd0.0",2,"lr=1e-05, wd=0.01",-0.8,11
[8],0,"lr0.001,wd0.0",11,"lr=0.003, wd=0.0",-0.7568,12
[8],0,"lr0.001,wd0.01",5,"lr=1e-04, wd=0.0",-0.9112,1
[8],0,"lr0.001,wd0.01",3,"lr=3e-05, wd=0.0",-0.8907,2
[8],0,"lr0.001,wd0.01",4,"lr=3e-05, wd=0.01",-0.8248,3
[8],0,"lr0.001,wd0.01",7,"lr=3e-04, wd=0.0",-0.818,4
[8],0,"lr0.001,wd0.01",10,"lr=0.001, wd=0.01",-0.8164,5
[8],0,"lr0.001,wd0.01",6,"lr=1e-04, wd=0.01",-0.8154,6
[8],0,"lr0.001,wd0.01",9,"lr=0.001, wd=0.0",-0.8008,7
[8],0,"lr0.001,wd0.01",12,"lr=0.003, wd=0.01",-0.8003,8
[8],0,"lr0.001,wd0.01",8,"lr=3e-04, wd=0.01",-0.7418,9
[8],0,"lr0.001,wd0.01",11,"lr=0.003, wd=0.0",-0.7098,10
[8],0,"lr0.001,wd0.01",1,"lr=1e-05, wd=0.0",-0.6876,11
[8],0,"lr0.001,wd0.01",2,"lr=1e-05, wd=0.01",-0.6591,12
[8],0,"lr0.003,wd0.0",3,"lr=3e-05, wd=0.0",-1.0555,1
[8],0,"lr0.003,wd0.0",4,"lr=3e-05, wd=0.01",-0.9987,2
[8],0,"lr0.003,wd0.0",5,"lr=1e-04, wd=0.0",-0.9971,3
[8],0,"lr0.003,wd0.0",6,"lr=1e-04, wd=0.01",-0.9025,4
[8],0,"lr0.003,wd0.0",7,"lr=3e-04, wd=0.0",-0.8741,5
[8],0,"lr0.003,wd0.0",12,"lr=0.003, wd=0.01",-0.8729,6
[8],0,"lr0.003,wd0.0",10,"lr=0.001, wd=0.01",-0.8591,7
[8],0,"lr0.003,wd0.0",9,"lr=0.001, wd=0.0",-0.8529,8
[8],0,"lr0.003,wd0.0",1,"lr=1e-05, wd=0.0",-0.8064,9
[8],0,"lr0.003,wd0.0",8,"lr=3e-04, wd=0.01",-0.7995,10
[8],0,"lr0.003,wd0.0",2,"lr=1e-05, wd=0.01",-0.7702,11
[8],0,"lr0.003,wd0.0",11,"lr=0.003, wd=0.0",-0.7564,12
[8],0,"lr0.003,wd0.01",5,"lr=1e-04, wd=0.0",-0.9341,1
[8],0,"lr0.003,wd0.01",3,"lr=3e-05, wd=0.0",-0.934,2
[8],0,"lr0.003,wd0.01",4,"lr=3e-05, wd=0.01",-0.8738,3
[8],0,"lr0.003,wd0.01",6,"lr=1e-04, wd=0.01",-0.8386,4
[8],0,"lr0.003,wd0.01",7,"lr=3e-04, wd=0.0",-0.8359,5
[8],0,"lr0.003,wd0.01",10,"lr=0.001, wd=0.01",-0.8282,6
[8],0,"lr0.003,wd0.01",12,"lr=0.003, wd=0.01",-0.828,7
[8],0,"lr0.003,wd0.01",9,"lr=0.001, wd=0.0",-0.8136,8
[8],0,"lr0.003,wd0.01",8,"lr=3e-04, wd=0.01",-0.7587,9
[8],0,"lr0.003,wd0.01",11,"lr=0.003, wd=0.0",-0.7226,10
[8],0,"lr0.003,wd0.01",1,"lr=1e-05, wd=0.0",-0.7156,11
[8],0,"lr0.003,wd0.01",2,"lr=1e-05, wd=0.01",-0.686,12
[8],5,"lr1e-05,wd0.0",7,"lr=3e-04, wd=0.0",-1.7422,1
[8],5,"lr1e-05,wd0.0",5,"lr=1e-04, wd=0.0",-1.691,2
[8],5,"lr1e-05,wd0.0",9,"lr=0.001, wd=0.0",-1.6759,3
[8],5,"lr1e-05,wd0.0",8,"lr=3e-04, wd=0.01",-1.6734,4
[8],5,"lr1e-05,wd0.0",6,"lr=1e-04, wd=0.01",-1.6715,5
[8],5,"lr1e-05,wd0.0",3,"lr=3e-05, wd=0.0",-1.6152,6
[8],5,"lr1e-05,wd0.0",4,"lr=3e-05, wd=0.01",-1.5943,7
[8],5,"lr1e-05,wd0.0",11,"lr=0.003, wd=0.0",-1.4756,8
[8],5,"lr1e-05,wd0.0",10,"lr=0.001, wd=0.01",-1.444,9
[8],5,"lr1e-05,wd0.0",1,"lr=1e-05, wd=0.0",-1.3823,10
[8],5,"lr1e-05,wd0.0",2,"lr=1e-05, wd=0.01",-1.3536,11
[8],5,"lr1e-05,wd0.0",12,"lr=0.003, wd=0.01",-1.2987,12
[8],5,"lr1e-05,wd0.01",7,"lr=3e-04, wd=0.0",-1.9051,1
[8],5,"lr1e-05,wd0.01",5,"lr=1e-04, wd=0.0",-1.8834,2
[8],5,"lr1e-05,wd0.01",6,"lr=1e-04, wd=0.01",-1.8634,3
[8],5,"lr1e-05,wd0.01",8,"lr=3e-04, wd=0.01",-1.8123,4
[8],5,"lr1e-05,wd0.01",9,"lr=0.001, wd=0.0",-1.7653,5
[8],5,"lr1e-05,wd0.01",3,"lr=3e-05, wd=0.0",-1.7363,6
[8],5,"lr1e-05,wd0.01",4,"lr=3e-05, wd=0.01",-1.7241,7
[8],5,"lr1e-05,wd0.01",11,"lr=0.003, wd=0.0",-1.5003,8
[8],5,"lr1e-05,wd0.01",10,"lr=0.001, wd=0.01",-1.4531,9
[8],5,"lr1e-05,wd0.01",1,"lr=1e-05, wd=0.0",-1.4468,10
[8],5,"lr1e-05,wd0.01",2,"lr=1e-05, wd=0.01",-1.4276,11
[8],5,"lr1e-05,wd0.01",12,"lr=0.003, wd=0.01",-1.2947,12
[8],5,"lr3e-05,wd0.0",9,"lr=0.001, wd=0.0",-1.5845,1
[8],5,"lr3e-05,wd0.0",7,"lr=3e-04, wd=0.0",-1.5547,2
[8],5,"lr3e-05,wd0.0",5,"lr=1e-04, wd=0.0",-1.4419,3
[8],5,"lr3e-05,wd0.0",8,"lr=3e-04, wd=0.01",-1.4409,4
[8],5,"lr3e-05,wd0.0",10,"lr=0.001, wd=0.01",-1.4273,5
