scale,epoch,target_hp,source_config,source_hp,nll,rank
[8],0,"lr1e-05,wd0.0",10,"lr=0.001, wd=0.01",18854889630.5034,1
[8],0,"lr1e-05,wd0.0",11,"lr=0.003, wd=0.0",21568972866.2381,2
[8],0,"lr1e-05,wd0.0",9,"lr=0.001, wd=0.0",28259419657.0606,3
[8],0,"lr1e-05,wd0.0",12,"lr=0.003, wd=0.01",31767074293.9482,4
[8],0,"lr1e-05,wd0.0",7,"lr=3e-04, wd=0.0",33361026581.5959,5
[8],0,"lr1e-05,wd0.0",8,"lr=3e-04, wd=0.01",51238432846.2581,6
[8],0,"lr1e-05,wd0.0",5,"lr=1e-04, wd=0.0",52146435735.8561,7
[8],0,"lr1e-05,wd0.0",6,"lr=1e-04, wd=0.01",77214191244.0881,8
[8],0,"lr1e-05,wd0.0",3,"lr=3e-05, wd=0.0",96887745494.7837,9
[8],0,"lr1e-05,wd0.0",4,"lr=3e-05, wd=0.01",120484395694.592,10
[8],0,"lr1e-05,wd0.0",1,"lr=1e-05, wd=0.0",181966628377.5514,11
[8],0,"lr1e-05,wd0.0",2,"lr=1e-05, wd=0.01",198250718179.0355,12
[8],0,"lr1e-05,wd0.01",10,"lr=0.001, wd=0.01",9829412040.8287,1
[8],0,"lr1e-05,wd0.01",11,"lr=0.003, wd=0.0",11570962275.3317,2
[8],0,"lr1e-05,wd0.01",9,"lr=0.001, wd=0.0",16578817452.1504,3
[8],0,"lr1e-05,wd0.01",12,"lr=0.003, wd=0.01",19567279630.1905,4
[8],0,"lr1e-05,wd0.01",7,"lr=3e-04, wd=0.0",20556567744.9806,5
[8],0,"lr1e-05,wd0.01",8,"lr=3e-04, wd=0.01",35327768463.9699,6
[8],0,"lr1e-05,wd0.01",5,"lr=1e-04, wd=0.0",36012137047.3661,7
[8],0,"lr1e-05,wd0.01",6,"lr=1e-04, wd=0.01",57381698266.949,8
[8],0,"lr1e-05,wd0.01",3,"lr=3e-05, wd=0.0",74176823082.3795,9
[8],0,"lr1e-05,wd0.01",4,"lr=3e-05, wd=0.01",95211612799.9278,10
[8],0,"lr1e-05,wd0.01",1,"lr=1e-05, wd=0.0",148813970921.3417,11
