target_N,n_partners,nearest_below,nearest_above,band_width_start,band_width_final,band_width_ratio,obs_frac
77124608,2,32270848,134561280,0.07859488436350004,0.7183513280734513,0.10941009126312039,0.05
134561280,2,77124608,287183360,0.09097854044119069,0.9855873301113174,0.0923089589949529,0.05
287183360,2,134561280,610488320,0.0742138018430265,2.591669815047469,0.0286355157636727,0.05
77124608,2,32270848,134561280,0.07551259743094318,0.4906901520913569,0.1538905908527062,0.1
134561280,2,77124608,287183360,0.07544679454918857,0.39750287022664366,0.18980188622580554,0.1
287183360,2,134561280,610488320,0.071076422703795,2.313776024456568,0.030718799897880594,0.1
77124608,2,32270848,134561280,0.07033507091800262,0.2597392779008416,0.27079104664660625,0.2
134561280,2,77124608,287183360,0.06764916612970495,0.2013099119566788,0.33604488458701837,0.2
287183360,2,134561280,610488320,0.06686126954440486,1.843216231762269,0.0362742408580462,0.2
77124608,2,32270848,134561280,0.06810408631814369,0.12248553527343775,0.5560173792448843,0.5
134561280,2,77124608,287183360,0.06758801126104741,0.10725946571241507,0.6301356324323386,0.5
287183360,2,134561280,610488320,0.061418649553953264,0.3432475609436936,0.1789339722767277,0.5
77124608,2,32270848,134561280,0.06670373585273359,0.06996764449139725,0.9533511716395574,0.9
134561280,2,77124608,287183360,0.06433811701473613,0.06613054698715115,0.9728955822373089,0.9
287183360,2,134561280,610488320,0.06344533939150865,0.06513145154489752,0.9741121668042885,0.9
