policy,trajectory_id,obs_frac,query_target_N,base_N,shrink,tkpm,mae,rmse,coverage_90,final_abs_error
all_lower_only,15,0.05,77124608,14562560,0.2,10.0,0.21645036320127295,0.22344284545450951,0.9689922480620154,0.33051891573838965
all_lower_only,15,0.1,77124608,14562560,0.2,10.0,0.1827383353376427,0.18910106105754762,0.16521739130434782,0.2849832950943867
all_lower_only,15,0.2,77124608,14562560,0.2,10.0,0.11854817602617083,0.12575318475798633,0.1650485436893204,0.2135303219303175
all_lower_only,15,0.5,77124608,14562560,0.2,10.0,0.0757500958012437,0.08084120761739333,0.59375,0.1377069347378974
all_lower_only,16,0.05,77124608,14562560,0.4,10.0,0.10706067443285354,0.11911111536445519,1.0,0.22052553383804296
all_lower_only,16,0.1,77124608,14562560,0.4,10.0,0.062356508130782494,0.07879447315775436,0.9043478260869565,0.16953272401965336
all_lower_only,16,0.2,77124608,14562560,0.4,10.0,0.07000158690324121,0.08293101959473281,0.7475728155339806,0.16787106794020845
all_lower_only,16,0.5,77124608,14562560,0.4,10.0,0.06560920363225653,0.07268761596035768,0.640625,0.13163674101887546
all_lower_only,17,0.05,77124608,14562560,1.0,10.0,0.14698431040311893,0.16619714536628075,0.3178294573643411,0.29072547444056296
all_lower_only,17,0.1,77124608,14562560,1.0,10.0,0.14434775696025123,0.1602196013532626,0.1565217391304348,0.270977952142903
all_lower_only,17,0.2,77124608,14562560,1.0,10.0,0.1201368356131349,0.1311465285721684,0.0970873786407767,0.22185520442795514
all_lower_only,17,0.5,77124608,14562560,1.0,10.0,0.05543877470961211,0.0608135652620736,0.703125,0.10768040457106798
all_lower_only,18,0.05,77124608,14562560,0.2,20.0,0.19086197344538933,0.19617789584899592,0.9457364341085271,0.29878000568038665
all_lower_only,18,0.1,77124608,14562560,0.2,20.0,0.11229248708555559,0.12090535178338906,0.8173913043478261,0.2163431573801704
all_lower_only,18,0.2,77124608,14562560,0.2,20.0,0.0805251619344267,0.08923113057884273,0.49514563106796117,0.1733879153972384
all_lower_only,18,0.5,77124608,14562560,0.2,20.0,0.06984297916097715,0.07594592676340882,0.625,0.1346976954855168
all_lower_only,19,0.05,77124608,14562560,0.4,20.0,0.06800960711474924,0.08578219328775147,1.0,0.18853431318156488
all_lower_only,19,0.1,77124608,14562560,0.4,20.0,0.07601755650614775,0.0909732527810483,0.8434782608695652,0.18459318277557557
all_lower_only,19,0.2,77124608,14562560,0.4,20.0,0.071090153690658,0.08262190292498355,0.7475728155339806,0.1670323179009423
all_lower_only,19,0.5,77124608,14562560,0.4,20.0,0.05366251840113187,0.061733959332173835,0.703125,0.12022766365196391
all_lower_only,20,0.05,77124608,14562560,1.0,20.0,0.19028220327244882,0.20758357356884163,0.14728682170542637,0.3327635278190839
all_lower_only,20,0.1,77124608,14562560,1.0,20.0,0.16314004241825386,0.17445759626844257,0.043478260869565216,0.27680376310949617
all_lower_only,20,0.2,77124608,14562560,1.0,20.0,0.11348111104991461,0.12075563874816743,0.04854368932038835,0.2000655455867868
all_lower_only,20,0.5,77124608,14562560,1.0,20.0,0.04145371534482485,0.046950163691583384,0.859375,0.09057627221802145
all_lower_only,21,0.05,77124608,14562560,0.2,30.0,0.1697244020854541,0.175257748811605,1.0,0.2779065236889662
all_lower_only,21,0.1,77124608,14562560,0.2,30.0,0.10081840337621836,0.10861352699703308,0.8695652173913043,0.19913648590565103
all_lower_only,21,0.2,77124608,14562560,0.2,30.0,0.08189276705989407,0.08937566438240603,0.4077669902912621,0.169197357037433
all_lower_only,21,0.5,77124608,14562560,0.2,30.0,0.06682215014757388,0.07172440310602396,0.65625,0.1251724676317303
all_lower_only,22,0.05,77124608,14562560,0.4,30.0,0.0912888214791281,0.10660911408422098,1.0,0.21004451673804558
all_lower_only,22,0.1,77124608,14562560,0.4,30.0,0.10157490273787814,0.11207005620600896,0.3130434782608696,0.20407067861147432
all_lower_only,22,0.2,77124608,14562560,0.4,30.0,0.09072099971418696,0.0990830642537006,0.23300970873786409,0.18150923192332957
all_lower_only,22,0.5,77124608,14562560,0.4,30.0,0.06712682076065835,0.07185882952077689,0.65625,0.12479323236413897
all_lower_only,23,0.05,77124608,14562560,1.0,30.0,0.2059359296842031,0.2178709706874883,0.11627906976744186,0.3297761461039763
all_lower_only,23,0.1,77124608,14562560,1.0,30.0,0.16827249592096052,0.17685146826430984,0.02608695652173913,0.272737353887063
all_lower_only,23,0.2,77124608,14562560,1.0,30.0,0.11120428280156959,0.11707282036946769,0.02912621359223301,0.19250031826140335
all_lower_only,23,0.5,77124608,14562560,1.0,30.0,0.04189793948489287,0.04684801961347367,0.8125,0.08954674641007898
all_lower_only,24,0.05,134561280,14562560,0.2,10.0,0.1750686409228895,0.1857495658479048,0.9224806201550387,0.2540062217320034
all_lower_only,24,0.1,134561280,14562560,0.2,10.0,0.17763619850989049,0.18264861267316496,0.6260869565217392,0.24235161939505012
all_lower_only,24,0.2,134561280,14562560,0.2,10.0,0.1758078989365416,0.17733185878339824,0.13592233009708737,0.2265274840308793
all_lower_only,24,0.5,134561280,14562560,0.2,10.0,0.12951112321462632,0.13044247342235432,0.0,0.16270581048537247
all_lower_only,25,0.05,134561280,14562560,0.4,10.0,0.1282763972130414,0.1328199881909394,1.0,0.1901975183006055
all_lower_only,25,0.1,134561280,14562560,0.4,10.0,0.08261852507193512,0.08818607975022148,1.0,0.15064600527483307
all_lower_only,25,0.2,134561280,14562560,0.4,10.0,0.07761751868291439,0.0820061759936728,0.912621359223301,0.13787533665800478
all_lower_only,25,0.5,134561280,14562560,0.4,10.0,0.086603239341788,0.08913033021921915,0.046875,0.1289670191126877
all_lower_only,26,0.05,134561280,14562560,1.0,10.0,0.060135627005885296,0.0722763715456383,1.0,0.13760700683579552
all_lower_only,26,0.1,134561280,14562560,1.0,10.0,0.10310059789374112,0.11352154204031771,0.8347826086956521,0.18062812968918784
all_lower_only,26,0.2,134561280,14562560,1.0,10.0,0.1057810008387701,0.11391793902037282,0.49514563106796117,0.17882501738098533
all_lower_only,26,0.5,134561280,14562560,1.0,10.0,0.060356645717211485,0.06398569460427928,0.921875,0.10048806127405685
all_lower_only,27,0.05,134561280,14562560,0.2,20.0,0.16138318490308923,0.16516796090578437,0.9147286821705426,0.2303914312956663
all_lower_only,27,0.1,134561280,14562560,0.2,20.0,0.14637465808718117,0.14831832835009248,0.8173913043478261,0.2078259983522024
all_lower_only,27,0.2,134561280,14562560,0.2,20.0,0.12361551933347763,0.1257853489083361,0.39805825242718446,0.181315398933243
all_lower_only,27,0.5,134561280,14562560,0.2,20.0,0.09854778379666049,0.1005407672577292,0.0,0.1407057441454782
all_lower_only,28,0.05,134561280,14562560,0.4,20.0,0.08253380419634984,0.09362662089876511,1.0,0.17573978446459781
all_lower_only,28,0.1,134561280,14562560,0.4,20.0,0.06507348324518797,0.07636452271771615,1.0,0.14772504354417348
all_lower_only,28,0.2,134561280,14562560,0.4,20.0,0.08092293298282201,0.08807357985789173,0.44660194174757284,0.15269850282464903
all_lower_only,28,0.5,134561280,14562560,0.4,20.0,0.08273690003350968,0.08529327424655943,0.0,0.12592919004064962
all_lower_only,29,0.05,134561280,14562560,1.0,20.0,0.0976271554984592,0.10437924075830701,1.0,0.1653273977942562
all_lower_only,29,0.1,134561280,14562560,1.0,20.0,0.12909471312560936,0.13528358783182495,0.1565217391304348,0.1972576489375384
all_lower_only,29,0.2,134561280,14562560,1.0,20.0,0.10768049435326929,0.11314540471083717,0.7281553398058253,0.1731198506596785
all_lower_only,29,0.5,134561280,14562560,1.0,20.0,0.05545116861203862,0.058594213723853754,0.9375,0.09382604081514767
all_lower_only,30,0.05,134561280,14562560,0.2,30.0,0.1626842480585176,0.16443751161784415,0.9302325581395349,0.2256926350289299
all_lower_only,30,0.1,134561280,14562560,0.2,30.0,0.12454204985925588,0.12732730958486646,0.8782608695652174,0.18969267935829626
all_lower_only,30,0.2,134561280,14562560,0.2,30.0,0.10438878903087111,0.10763642918066066,0.7669902912621359,0.16659838553133977
all_lower_only,30,0.5,134561280,14562560,0.2,30.0,0.08480602744767352,0.08702835164630504,0.109375,0.12613618581094288
all_lower_only,31,0.05,134561280,14562560,0.4,30.0,0.07452743826506471,0.08553934936865623,1.0,0.16253579483530345
all_lower_only,31,0.1,134561280,14562560,0.4,30.0,0.07140257618802734,0.08015626279149018,0.9217391304347826,0.14736936336830309
all_lower_only,31,0.2,134561280,14562560,0.4,30.0,0.08527628241781075,0.09082799984596905,0.36893203883495146,0.15144401011409725
all_lower_only,31,0.5,134561280,14562560,0.4,30.0,0.0749770184497801,0.07749660457953914,0.0625,0.11640278991815811
all_lower_only,32,0.05,134561280,14562560,1.0,30.0,0.08930676419073039,0.09362583895935134,1.0,0.14731407305493738
all_lower_only,32,0.1,134561280,14562560,1.0,30.0,0.12164103168688935,0.125072044238731,0.5826086956521739,0.1758753993191462
all_lower_only,32,0.2,134561280,14562560,1.0,30.0,0.09974175559981636,0.1029926239001772,0.8349514563106796,0.15270739158424007
all_lower_only,32,0.5,134561280,14562560,1.0,30.0,0.048221354100316846,0.05086532538800666,0.921875,0.08286232404549221
all_lower_only,33,0.05,287183360,14562560,0.2,10.0,0.1471156708593925,0.1510658089885981,0.689922480620155,0.242670726549314
all_lower_only,33,0.1,287183360,14562560,0.2,10.0,0.11700712721290076,0.1244573800796429,0.5130434782608696,0.22025559347500878
all_lower_only,33,0.2,287183360,14562560,0.2,10.0,0.11048466043501974,0.11800702838580468,0.1941747572815534,0.2090777777892865
all_lower_only,33,0.5,287183360,14562560,0.2,10.0,0.08691123269121166,0.09316710366027718,0.046875,0.1607182965616083
all_lower_only,34,0.05,287183360,14562560,0.4,10.0,0.11340359980474517,0.12617184728596176,0.8217054263565892,0.23514461346977988
all_lower_only,34,0.1,287183360,14562560,0.4,10.0,0.12490631638279867,0.1352576972243432,0.2608695652173913,0.23645753074580234
all_lower_only,34,0.2,287183360,14562560,0.4,10.0,0.12440026273197612,0.13301428988181363,0.07766990291262135,0.22907471419863779
all_lower_only,34,0.5,287183360,14562560,0.4,10.0,0.08893916418002507,0.09488192838456982,0.0,0.16124695344414963
all_lower_only,35,0.05,287183360,14562560,0.6,10.0,0.1123298863586281,0.12630373482635637,0.8294573643410853,0.23477213910806416
all_lower_only,35,0.1,287183360,14562560,0.6,10.0,0.13654999776840365,0.14691287249550852,0.17391304347826086,0.2511175173960494
all_lower_only,35,0.2,287183360,14562560,0.6,10.0,0.11464906294991642,0.12424794682111921,0.17475728155339806,0.22140150204397657
all_lower_only,35,0.5,287183360,14562560,0.6,10.0,0.0721949089637564,0.07909623740246097,0.28125,0.14333716188840073
all_lower_only,36,0.05,287183360,14562560,0.8,10.0,0.1221477830817909,0.13407758325635083,0.689922480620155,0.24098304131219228
all_lower_only,36,0.1,287183360,14562560,0.8,10.0,0.13405809666412252,0.14403045035569975,0.16521739130434782,0.24612636138184296
all_lower_only,36,0.2,287183360,14562560,0.8,10.0,0.10487352845601834,0.11432364138667804,0.2621359223300971,0.20821757430872734
all_lower_only,36,0.5,287183360,14562560,0.8,10.0,0.06031498173993363,0.0682420117453239,0.609375,0.13056574630451223
all_lower_only,37,0.05,287183360,14562560,1.0,10.0,0.14273011753256604,0.15110969175863148,0.26356589147286824,0.24945393949608174
all_lower_only,37,0.1,287183360,14562560,1.0,10.0,0.1496762202529867,0.15666714582800828,0.06086956521739131,0.2501455794469969
all_lower_only,37,0.2,287183360,14562560,1.0,10.0,0.11628008131481463,0.12298640694303666,0.1650485436893204,0.2102258980211893
all_lower_only,37,0.5,287183360,14562560,1.0,10.0,0.059192665270948484,0.0662940865790843,0.671875,0.12582704253492372
all_lower_only,38,0.05,287183360,14562560,0.2,20.0,0.1238903371188923,0.13104596733985943,0.5271317829457365,0.2304098915700039
all_lower_only,38,0.1,287183360,14562560,0.2,20.0,0.10236040992369828,0.111941346038535,0.34782608695652173,0.20745495883435283
all_lower_only,38,0.2,287183360,14562560,0.2,20.0,0.09423288375852304,0.10267411864045294,0.1941747572815534,0.1908370766716012
all_lower_only,38,0.5,287183360,14562560,0.2,20.0,0.0717250489187758,0.07847008075502102,0.171875,0.14336752003886444
all_lower_only,39,0.05,287183360,14562560,0.4,20.0,0.11349861447842809,0.12505849011484418,0.5658914728682171,0.23070592091086706
all_lower_only,39,0.1,287183360,14562560,0.4,20.0,0.11216245049121079,0.12173050114127396,0.20869565217391303,0.21832297671909906
all_lower_only,39,0.2,287183360,14562560,0.4,20.0,0.09889712201775157,0.10773425296787663,0.1553398058252427,0.19784152289562273
all_lower_only,39,0.5,287183360,14562560,0.4,20.0,0.067719919911815,0.0745223855940606,0.234375,0.13781586660408118
all_lower_only,40,0.05,287183360,14562560,0.6,20.0,0.11652009463931598,0.12745120970368154,0.5348837209302325,0.23074409637322923
all_lower_only,40,0.1,287183360,14562560,0.6,20.0,0.114647103522852,0.12437287246460395,0.2,0.22114071291426884
all_lower_only,40,0.2,287183360,14562560,0.6,20.0,0.09163626865565064,0.10120868045654388,0.2621359223300971,0.1907963921274829
all_lower_only,40,0.5,287183360,14562560,0.6,20.0,0.06102265486090121,0.06799893482314903,0.46875,0.12873033536078804
all_lower_only,41,0.05,287183360,14562560,0.8,20.0,0.1278021342459268,0.136808605173493,0.3488372093023256,0.23619149514413973
all_lower_only,41,0.1,287183360,14562560,0.8,20.0,0.11232045490938823,0.12140399019679343,0.23478260869565218,0.21625572703278273
all_lower_only,41,0.2,287183360,14562560,0.8,20.0,0.08504156829693424,0.09437727748324633,0.33980582524271846,0.18137158010615662
all_lower_only,41,0.5,287183360,14562560,0.8,20.0,0.05399143935043714,0.061350651864943415,0.609375,0.12043475793716962
all_lower_only,42,0.05,287183360,14562560,1.0,20.0,0.14057899652717037,0.1455605293701897,0.09302325581395349,0.23004967489976935
all_lower_only,42,0.1,287183360,14562560,1.0,20.0,0.11872749174789837,0.12432637760262531,0.06956521739130435,0.20827570632922465
all_lower_only,42,0.2,287183360,14562560,1.0,20.0,0.08828768046291785,0.0948441127556044,0.3106796116504854,0.1742457669047075
all_lower_only,42,0.5,287183360,14562560,1.0,20.0,0.048302560596642674,0.05519651951903964,0.671875,0.11017940494410094
all_lower_only,43,0.05,287183360,14562560,0.2,30.0,0.14523247860592303,0.14736874628520885,0.5736434108527132,0.21417933518422494
all_lower_only,43,0.1,287183360,14562560,0.2,30.0,0.11846446895050541,0.12242345935821813,0.40869565217391307,0.19323307406746815
all_lower_only,43,0.2,287183360,14562560,0.2,30.0,0.1078447737513156,0.11220317314689233,0.2524271844660194,0.17970322302823205
all_lower_only,43,0.5,287183360,14562560,0.2,30.0,0.08493254686817861,0.088577223702607,0.0,0.1387192195538045
all_lower_only,44,0.05,287183360,14562560,0.4,30.0,0.12114034111805995,0.12697508787886982,0.6434108527131783,0.20748907118018156
all_lower_only,44,0.1,287183360,14562560,0.4,30.0,0.11109990955256772,0.11666674716004796,0.34782608695652173,0.19073002483625623
all_lower_only,44,0.2,287183360,14562560,0.4,30.0,0.10509127886469016,0.1101855631912694,0.14563106796116504,0.17857429925153223
all_lower_only,44,0.5,287183360,14562560,0.4,30.0,0.07884623555226045,0.08270005690237271,0.0,0.13206940879338736
all_lower_only,45,0.05,287183360,14562560,0.6,30.0,0.10547576438603053,0.11230301200616746,0.7286821705426356,0.18968835096245895
all_lower_only,45,0.1,287183360,14562560,0.6,30.0,0.10621318951387065,0.1112458996822901,0.24347826086956523,0.18042358338744946
all_lower_only,45,0.2,287183360,14562560,0.6,30.0,0.09428486512763423,0.09957488242174366,0.17475728155339806,0.16567922394349255
all_lower_only,45,0.5,287183360,14562560,0.6,30.0,0.06724157491492241,0.07142055738475304,0.15625,0.11897273743769832
all_lower_only,46,0.05,287183360,14562560,0.8,30.0,0.11257149761027803,0.11628525096687942,0.7209302325581395,0.1801665441656155
all_lower_only,46,0.1,287183360,14562560,0.8,30.0,0.10854925543714561,0.11234520470808057,0.1826086956521739,0.17391150275711098
all_lower_only,46,0.2,287183360,14562560,0.8,30.0,0.08617573100428126,0.0910627045163713,0.32038834951456313,0.15274177932376043
all_lower_only,46,0.5,287183360,14562560,0.8,30.0,0.055721852834562866,0.06043177816874113,0.609375,0.10539143423601138
all_lower_only,47,0.05,287183360,14562560,1.0,30.0,0.13786807785077881,0.1403313047978843,0.6046511627906976,0.20050517732859152
all_lower_only,47,0.1,287183360,14562560,1.0,30.0,0.128187733688464,0.1307013941215489,0.05217391304347826,0.18895631346948338
all_lower_only,47,0.2,287183360,14562560,1.0,30.0,0.09774750644725991,0.10140035691365479,0.4077669902912621,0.1611869795487244
