policy,obs_frac,t_target,query_target_N,n_configs,spearman_rho,kendall_tau,spearman_p,kendall_p
all_lower_only,0.05,0.1,77124608,24,0.8921739130434782,0.7391304347826086,4.757173412170351e-09,1.5539029608017707e-08
all_lower_only,0.05,0.1,134561280,27,0.9371184371184371,0.8176638176638178,6.246291219449484e-13,1.9346383725519378e-12
all_lower_only,0.05,0.1,287183360,35,0.9316526610644258,0.7915966386554621,4.560438178137088e-16,2.2489349526820447e-11
all_lower_only,0.05,0.1,610488320,8,0.5000000000000001,0.42857142857142855,0.20703124999999997,0.17886904761904762
all_lower_only,0.05,0.2,77124608,24,0.8608695652173911,0.6956521739130435,6.749197195108882e-08,1.800588368372513e-07
all_lower_only,0.05,0.2,134561280,27,0.9273504273504273,0.7891737891737892,3.5993379324743603e-12,2.5602158947328486e-11
all_lower_only,0.05,0.2,287183360,35,0.9179271708683474,0.7579831932773109,8.420065107501343e-15,1.505213765630304e-10
all_lower_only,0.05,0.2,610488320,8,0.7142857142857144,0.5714285714285714,0.04652823228416724,0.06101190476190476
all_lower_only,0.05,0.3,77124608,24,0.8408695652173912,0.6521739130434783,2.6815316463498965e-07,1.5099399562473112e-06
all_lower_only,0.05,0.3,134561280,27,0.9065934065934066,0.737891737891738,7.425706695838214e-11,1.338401060516753e-09
all_lower_only,0.05,0.3,287183360,35,0.9204481792717087,0.7579831932773109,5.1292373028850665e-15,1.505213765630304e-10
all_lower_only,0.05,0.3,610488320,8,0.7380952380952381,0.4999999999999999,0.03655276105286081,0.10868055555555556
all_lower_only,0.05,0.4,77124608,24,0.7982608695652172,0.6014492753623188,2.9507045111996198e-06,1.2986666549894791e-05
all_lower_only,0.05,0.4,134561280,27,0.8974358974358974,0.720797720797721,2.2716753976255484e-10,4.267454360248289e-09
all_lower_only,0.05,0.4,287183360,35,0.9070028011204482,0.734453781512605,6.091120234099033e-14,5.434125892159657e-10
all_lower_only,0.05,0.4,610488320,8,0.4285714285714286,0.21428571428571427,0.2894032248467901,0.5484126984126985
all_lower_only,0.05,0.5,77124608,24,0.7504347826086956,0.5507246376811594,2.404291401573714e-05,8.3512346907893e-05
all_lower_only,0.05,0.5,134561280,27,0.8937728937728937,0.720797720797721,3.451233720120562e-10,4.267454360248289e-09
all_lower_only,0.05,0.5,287183360,35,0.8907563025210085,0.7109243697478992,7.66453704725565e-13,1.887479230731397e-09
all_lower_only,0.05,0.5,610488320,8,0.3333333333333334,0.21428571428571427,0.4197530864197531,0.5484126984126985
all_lower_only,0.05,0.6,77124608,24,0.7391304347826086,0.536231884057971,3.693134602421657e-05,0.00013569693294094353
all_lower_only,0.05,0.6,134561280,27,0.8766788766788767,0.6923076923076924,2.024908898061233e-09,2.5475539858523437e-08
all_lower_only,0.05,0.6,287183360,35,0.8759103641456584,0.6907563025210084,5.596001574938072e-12,5.321655484534884e-09
all_lower_only,0.05,0.6,610488320,8,0.4761904761904762,0.2857142857142857,0.23293553465009798,0.39875992063492066
all_lower_only,0.05,0.7,77124608,24,0.6947826086956521,0.49275362318840576,0.00016488547980470365,0.0005216703538772646
all_lower_only,0.05,0.7,134561280,27,0.8748473748473748,0.6866096866096868,2.4096879667099946e-09,3.569884931294455e-08
all_lower_only,0.05,0.7,287183360,35,0.8484593837535015,0.6571428571428571,1.2222126314345044e-10,2.811941346133956e-08
all_lower_only,0.05,0.7,610488320,8,0.4761904761904762,0.2857142857142857,0.23293553465009798,0.39875992063492066
all_lower_only,0.05,0.8,77124608,24,0.6626086956521738,0.4710144927536232,0.000418691439708758,0.000966178357791211
all_lower_only,0.05,0.8,134561280,27,0.8675213675213675,0.680911680911681,4.708076914073823e-09,4.971543807736273e-08
all_lower_only,0.05,0.8,287183360,35,0.8397759103641457,0.6470588235294117,2.8629347154136913e-10,4.5629507146046444e-08
all_lower_only,0.05,0.8,610488320,8,0.4285714285714286,0.21428571428571427,0.2894032248467901,0.5484126984126985
all_lower_only,0.05,0.9,77124608,24,0.6521739130434783,0.463768115942029,0.0005535306808586614,0.0011772109119610658
all_lower_only,0.05,0.9,134561280,27,0.8583638583638583,0.680911680911681,1.0308283720488314e-08,4.971543807736273e-08
all_lower_only,0.05,0.9,287183360,35,0.7985994397759104,0.6,8.988482239460619e-09,3.980012680439345e-07
all_lower_only,0.05,0.9,610488320,8,0.5476190476190477,0.3571428571428571,0.1600256425388966,0.27509920634920637
all_lower_only,0.05,1.0,77124608,24,0.6547826086956522,0.463768115942029,0.000516719100681465,0.0011772109119610658
all_lower_only,0.05,1.0,134561280,27,0.854090354090354,0.6695156695156697,1.4588921762772339e-08,9.470679330317369e-08
all_lower_only,0.05,1.0,287183360,35,0.773109243697479,0.5697478991596638,5.2270987634511975e-08,1.477275091262034e-06
all_lower_only,0.05,1.0,610488320,8,0.5952380952380953,0.3571428571428571,0.11952980613879259,0.27509920634920637
all_lower_only,0.1,0.2,77124608,24,0.9469565217391304,0.8333333333333333,2.519266865368467e-12,1.5717331021738638e-11
