policy,trajectory_id,obs_frac,query_target_N,base_N,shrink,tkpm,context_size,loss_log_min,loss_log_max,band_width_start,band_width_final,band_width_ratio
all_lower_only,19,0.05,77124608,14562560,0.4,20.0,16,0.47629245805338843,2.396492735247787,0.2351188039823593,2.805467493628906,0.08380735279104243
all_lower_only,19,0.1,77124608,14562560,0.4,20.0,16,0.47629245805338843,2.396492735247787,0.10902024768091723,1.9663801127494018,0.05544210245723275
all_lower_only,19,0.2,77124608,14562560,0.4,20.0,16,0.47629245805338843,2.396492735247787,0.09844370143363967,1.5831456473622763,0.06218234032835798
all_lower_only,19,0.5,77124608,14562560,0.4,20.0,16,0.47629245805338843,2.396492735247787,0.09699191213448843,0.6178389892665548,0.1569857419481229
all_lower_only,19,0.9,77124608,14562560,0.4,20.0,16,0.47629245805338843,2.396492735247787,0.09772272497789425,0.10677636719549577,0.9152093065591443
all_lower_only,28,0.05,134561280,14562560,0.4,20.0,40,0.47629245805338843,2.396492735247787,0.5312731590029562,1.7859647315212601,0.297471248802559
all_lower_only,28,0.1,134561280,14562560,0.4,20.0,40,0.47629245805338843,2.396492735247787,0.2560950458593356,0.9957260646351462,0.2571942775779139
all_lower_only,28,0.2,134561280,14562560,0.4,20.0,40,0.47629245805338843,2.396492735247787,0.15354817003401733,0.2553455828240707,0.6013347414739095
all_lower_only,28,0.5,134561280,14562560,0.4,20.0,40,0.47629245805338843,2.396492735247787,0.09941367993890182,0.12519753586374516,0.7940546054124867
all_lower_only,28,0.9,134561280,14562560,0.4,20.0,40,0.47629245805338843,2.396492735247787,0.09981772097280373,0.10129613315753816,0.985405048162745
all_lower_only,39,0.05,287183360,14562560,0.4,20.0,67,0.47629245805338843,2.396492735247787,0.28488570526956014,1.118291369421772,0.25475087536163693
all_lower_only,39,0.1,287183360,14562560,0.4,20.0,67,0.47629245805338843,2.396492735247787,0.1647519742544008,0.8640589414963993,0.19067214786190295
all_lower_only,39,0.2,287183360,14562560,0.4,20.0,67,0.47629245805338843,2.396492735247787,0.10995912252560647,0.7078078665259977,0.1553516536419671
all_lower_only,39,0.5,287183360,14562560,0.4,20.0,67,0.47629245805338843,2.396492735247787,0.08741475718273617,0.11328468140180536,0.7716379311046293
all_lower_only,39,0.9,287183360,14562560,0.4,20.0,67,0.47629245805338843,2.396492735247787,0.08731550876833616,0.08962547134477661,0.974226494524594
all_lower_only,52,0.05,610488320,14562560,0.4,20.0,102,0.47629245805338843,2.396492735247787,0.6290228274427325,0.6259553766326624,1.0049004304852711
all_lower_only,52,0.1,610488320,14562560,0.4,20.0,102,0.47629245805338843,2.396492735247787,0.2449104730940468,0.22823313770802156,1.0730714897648235
all_lower_only,52,0.2,610488320,14562560,0.4,20.0,102,0.47629245805338843,2.396492735247787,0.14220400727143878,0.16316811650734353,0.8715183475506918
all_lower_only,52,0.5,610488320,14562560,0.4,20.0,102,0.47629245805338843,2.396492735247787,0.08696625739932107,0.09655559302632066,0.9006858605861849
all_lower_only,52,0.9,610488320,14562560,0.4,20.0,102,0.47629245805338843,2.396492735247787,0.08174269763018849,0.08211132137286814,0.9955106831004981
context_ifbo,6,0.05,32270848,14562560,0.4,20.0,109,0.47629245805338843,2.396492735247787,0.5374677050430301,0.24090004955666489,2.2310817537486893
context_ifbo,6,0.1,32270848,14562560,0.4,20.0,109,0.47629245805338843,2.396492735247787,0.25579235745304274,0.2027532910881007,1.2615941081908033
context_ifbo,6,0.2,32270848,14562560,0.4,20.0,109,0.47629245805338843,2.396492735247787,0.16188921103592335,0.18403823965924548,0.8796498561150553
context_ifbo,6,0.5,32270848,14562560,0.4,20.0,109,0.47629245805338843,2.396492735247787,0.13077601173385434,0.15308612510539188,0.854264301508852
context_ifbo,6,0.9,32270848,14562560,0.4,20.0,109,0.47629245805338843,2.396492735247787,0.1351447063302591,0.13680461220489004,0.9878665942041126
context_ifbo,19,0.05,77124608,14562560,0.4,20.0,109,0.47629245805338843,2.396492735247787,0.2992534182421922,0.16481171512146697,1.8157290458487194
context_ifbo,19,0.1,77124608,14562560,0.4,20.0,109,0.47629245805338843,2.396492735247787,0.12089325975804233,0.1522436887250349,0.7940773162451802
context_ifbo,19,0.2,77124608,14562560,0.4,20.0,109,0.47629245805338843,2.396492735247787,0.11054397396996762,0.14457077436447618,0.7646356911063928
context_ifbo,19,0.5,77124608,14562560,0.4,20.0,109,0.47629245805338843,2.396492735247787,0.10568427974634398,0.1280071480097109,0.8256123301671132
context_ifbo,19,0.9,77124608,14562560,0.4,20.0,109,0.47629245805338843,2.396492735247787,0.11403471225524564,0.11561388173248455,0.986341004613158
context_ifbo,28,0.05,134561280,14562560,0.4,20.0,109,0.47629245805338843,2.396492735247787,0.49314074604683844,0.19220116845559554,2.5657531117495225
context_ifbo,28,0.1,134561280,14562560,0.4,20.0,109,0.47629245805338843,2.396492735247787,0.1802838932337889,0.1707219927373551,1.056008604065114
context_ifbo,28,0.2,134561280,14562560,0.4,20.0,109,0.47629245805338843,2.396492735247787,0.11988856325104491,0.16025240991250422,0.748123309449777
context_ifbo,28,0.5,134561280,14562560,0.4,20.0,109,0.47629245805338843,2.396492735247787,0.11889348434759572,0.14165172618915878,0.8393366430905884
context_ifbo,28,0.9,134561280,14562560,0.4,20.0,109,0.47629245805338843,2.396492735247787,0.1238795626433229,0.1265246396289461,0.9790943725002471
context_ifbo,39,0.05,287183360,14562560,0.4,20.0,109,0.47629245805338843,2.396492735247787,0.14833793254992056,0.12524603165329018,1.1843723157676889
context_ifbo,39,0.1,287183360,14562560,0.4,20.0,109,0.47629245805338843,2.396492735247787,0.11156165785292971,0.1274431081105103,0.875384000805997
context_ifbo,39,0.2,287183360,14562560,0.4,20.0,109,0.47629245805338843,2.396492735247787,0.10305260570675245,0.12465392205883497,0.8267096935635367
context_ifbo,39,0.5,287183360,14562560,0.4,20.0,109,0.47629245805338843,2.396492735247787,0.09397788394883899,0.1074990288546267,0.8742207715748517
context_ifbo,39,0.9,287183360,14562560,0.4,20.0,109,0.47629245805338843,2.396492735247787,0.09574577578191756,0.09707310981749884,0.9863264498471646
