variant_group,t_group,context,obs_folder,mean_relerr
t134,t134,32270848,0,24.166666666666668
t134,t134,32270848,20,4.537037037037037
t134,t134,32270848,50,3.1555555555555554
t134,t134,32270848,90,0.7037037037037037
t134,t134,77124608,0,5.15925925925926
t134,t134,77124608,20,3.214814814814815
t134,t134,77124608,50,2.1185185185185187
t134,t134,77124608,90,0.5037037037037037
t134_changedorder,t134,32270848,0,38.58148148148148
t134_changedorder,t134,32270848,20,4.851851851851852
t134_changedorder,t134,32270848,50,3.2888888888888888
t134_changedorder,t134,32270848,90,0.9962962962962962
t134_changedorder,t134,77124608,0,5.9185185185185185
t134_changedorder,t134,77124608,20,3.8703703703703702
t134_changedorder,t134,77124608,50,2.3666666666666667
t134_changedorder,t134,77124608,90,0.7555555555555555
t134_changedorder2,t134,32270848,0,25.62222222222222
t134_changedorder2,t134,32270848,20,5.237037037037037
t134_changedorder2,t134,32270848,50,3.285185185185185
t134_changedorder2,t134,32270848,90,0.8814814814814815
t134_changedorder2,t134,77124608,0,4.874074074074074
t134_changedorder2,t134,77124608,20,3.588888888888889
t134_changedorder2,t134,77124608,50,2.3703703703703702
t134_changedorder2,t134,77124608,90,0.6296296296296297
t134_hpas0,t134,32270848,0,18.377777777777776
t134_hpas0,t134,32270848,20,17.562962962962963
t134_hpas0,t134,32270848,50,16.714814814814815
t134_hpas0,t134,32270848,90,13.981481481481481
t134_hpas0,t134,77124608,0,6.007407407407407
t134_hpas0,t134,77124608,20,6.048148148148148
t134_hpas0,t134,77124608,50,6.2
t134_hpas0,t134,77124608,90,5.977777777777778
t134_ohneemb,t134,32270848,0,18.562962962962963
t134_ohneemb,t134,32270848,20,21.1
t134_ohneemb,t134,32270848,50,17.685185185185187
t134_ohneemb,t134,32270848,90,11.596296296296297
t134_ohneemb,t134,77124608,0,6.1
t134_ohneemb,t134,77124608,20,7.762962962962963
t134_ohneemb,t134,77124608,50,7.770370370370371
t134_ohneemb,t134,77124608,90,5.877777777777778
t134_onlyemb,t134,32270848,0,188.24074074074073
t134_onlyemb,t134,32270848,20,6.214814814814815
t134_onlyemb,t134,32270848,50,3.5296296296296297
t134_onlyemb,t134,32270848,90,0.2851851851851852
t134_onlyemb,t134,77124608,0,162.15925925925927
t134_onlyemb,t134,77124608,20,5.607407407407408
t134_onlyemb,t134,77124608,50,2.9222222222222225
t134_onlyemb,t134,77124608,90,0.48518518518518516
t134_withbase,t134,32270848,0,38.51851851851852
