t_group,obs_folder,t134,t134_changedorder,t134_changedorder2,t134_hpas0,t134_ohneemb,t134_onlyemb,t134_withbase,t287,t287_changedorder,t287_changedorder2,t287_hpas0,t287_ohneemb,t287_onlyemb,t287_withbase,t610,t610_changedorder,t610_changedorder2,t610_hpas0,t610_ohneemb,t610_onlyemb,t610_withbase
t134,0,14.662962962962965,22.25,15.248148148148147,12.192592592592591,12.331481481481482,175.2,22.016666666666666,,,,,,,,,,,,,,
t134,20,3.8759259259259258,4.361111111111111,4.412962962962963,11.805555555555555,14.431481481481482,5.911111111111111,4.877777777777778,,,,,,,,,,,,,,
t134,50,2.637037037037037,2.8277777777777775,2.8277777777777775,11.457407407407407,12.727777777777778,3.2259259259259263,2.8574074074074076,,,,,,,,,,,,,,
t134,90,0.6037037037037036,0.8759259259259259,0.7555555555555555,9.97962962962963,8.737037037037037,0.3851851851851852,0.9814814814814815,,,,,,,,,,,,,,
t287,0,,,,,,,,41.78095238095238,51.457142857142856,38.210476190476186,19.633333333333333,19.68190476190476,210.47619047619048,36.743809523809524,,,,,,,
t287,20,,,,,,,,6.126666666666666,6.300952380952381,6.516190476190476,19.02,21.79714285714286,8.244761904761905,6.9523809523809526,,,,,,,
t287,50,,,,,,,,4.234285714285714,4.377142857142857,4.398095238095237,16.911428571428573,18.32190476190476,4.545714285714285,4.341904761904762,,,,,,,
t287,90,,,,,,,,0.8104761904761905,1.1533333333333333,1.1199999999999999,14.317142857142857,13.36,0.6266666666666666,1.2733333333333334,,,,,,,
t610,0,,,,,,,,,,,,,,,71.546875,79.45,55.921875,16.878125,17.64375,202.546875,49.45
t610,20,,,,,,,,,,,,,,,8.55,8.325,8.709375,16.590625,19.184375,13.2375,9.5375
t610,50,,,,,,,,,,,,,,,5.921875,6.14375,6.259375,15.521875,17.18125,7.01875,6.065625000000001
t610,90,,,,,,,,,,,,,,,0.6875,0.734375,0.915625,12.578125,12.49375,0.7906249999999999,0.8374999999999999
