tokens,flops,Train Loss,Validation Loss,tkpm,base_N,target_N,shrink,max_lr,n_embd,n_head,method,shrinking,post_hoc_df,g_width,g_N
0,0.0,10.957504272460938,10.984582901000977,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
589824,114204723904512.0,5.196038722991943,5.271425247192383,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
1245184,241098861576192.0,3.947032928466797,4.42680549621582,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
1900544,367992999247872.0,3.9958062171936035,4.247043609619141,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
2555904,494887136919552.0,4.492280960083008,4.1251420974731445,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
3211264,621781274591232.0,4.208644866943359,4.052136421203613,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
3866624,748675412262912.0,3.62153959274292,3.911202907562256,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
4521984,875569549934592.0,3.5513410568237305,3.786931037902832,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
5177344,1002463687606272.0,3.7760796546936035,3.7066173553466797,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
5832704,1129357825277952.0,3.604336738586426,3.641751766204834,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
